Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.3128,0.1857,0.1906,0.0929,0.1369,6.586452
0.088,0.176,0.2542,0.1906,0.1026,6.588024
0.2199,0.1808,0.1662,0.1271,0.1173,6.589504
0.1711,0.1906,0.1075,0.0978,0.088,6.594052
0.0831,0.1075,0.0831,0.0782,0.0684,6.619012
0.0684,0.1173,0.1173,0.1124,0.0684,6.643972
0.1026,0.1564,0.1173,0.0929,0.0978,6.668932
0.1466,0.0978,0.1026,0.0978,0.1173,6.6939
0.0831,0.0635,0.0831,0.0684,0.0831,6.718852
0.0929,0.088,0.0684,0.088,0.0782,6.743812
0.1711,0.1075,0.0635,0.0782,0.0782,6.768772
0.0684,0.0782,0.0684,0.0831,0.1026,6.793732
0.0831,0.0684,0.0635,0.088,0.088,6.818692
0.132,0.0929,0.1026,0.1808,0.088,6.843652
0.1075,0.0782,0.0929,0.0831,0.1711,6.868612
0.1564,0.1222,0.1564,0.1075,0.132,6.89358
0.1222,0.0978,0.0978,0.1369,0.0978,6.918532
0.1026,0.0929,0.1124,0.0978,0.1124,6.943492
0.1173,0.0684,0.0929,0.1075,0.1026,6.968452
0.0929,0.0733,0.0733,0.0684,0.0733,6.993412
0.088,0.1075,0.0929,0.0684,0.0684,7.018372
0.0831,0.0831,0.0782,0.0782,0.088,7.043332
0.0733,0.0733,0.1026,0.0929,0.0684,7.068292
0.088,0.0733,0.0733,0.0684,0.0831,7.09326
0.0635,0.0684,0.0831,0.0929,0.0733,7.118212
0.0929,0.0782,0.0978,0.0684,0.0831,7.143172
0.0684,0.0635,0.088,0.0782,0.0978,7.168132
0.0782,0.1026,0.2493,0.1906,0.1955,7.193092
0.0782,0.0782,0.1124,0.1369,0.1075,7.218052
0.1026,0.1417,0.1417,0.1271,0.1222,7.243012
0.0782,0.1271,0.1222,0.1124,0.2004,7.267972
0.1808,0.259,0.0978,0.1466,0.1026,7.29294
0.1271,0.1417,0.2151,0.0978,0.088,7.317892
0.1173,0.1417,0.1173,0.088,0.0782,7.342852
0.0831,0.0684,0.0635,0.0684,0.0684,7.367812
0.0831,0.0782,0.0733,0.1026,0.0684,7.392772
0.0831,0.0733,0.0733,0.0782,0.0684,7.417732
0.0978,0.0733,0.0733,0.0733,0.0733,7.442692
0.0733,0.0782,0.0684,0.0733,0.0733,7.467652
0.0782,0.0782,0.1173,0.088,0.0782,7.49262
0.0733,0.0978,0.0831,0.0831,0.0782,7.517572
0.0733,0.0929,0.0733,0.0733,0.0978,7.542532
0.1026,0.1173,0.1466,0.0978,0.0684,7.567492
0.1075,0.1369,0.088,0.1369,0.1711,7.592452
0.1369,0.0831,0.1173,0.0929,0.1124,7.617412
0.0978,0.132,0.1173,0.1857,0.1173,7.642372
0.1173,0.1808,0.1271,0.1417,0.1417,7.667332
0.1662,0.1906,0.1955,0.1222,0.1417,7.6923
0.0929,0.088,0.1369,0.132,0.0733,7.717252
0.0831,0.1075,0.1222,0.0978,0.1466,7.742212
0.0782,0.088,0.0684,0.0684,0.0684,7.767172
0.088,0.0733,0.0831,0.0733,0.0733,7.792132
0.0782,0.1026,0.0831,0.0978,0.0684,7.817092
0.1026,0.0978,0.0733,0.1026,0.0929,7.842052
0.0978,0.0831,0.0831,0.0831,0.0782,7.867012
0.1026,0.0929,0.1124,0.1173,0.132,7.89198
0.088,0.1515,0.1026,0.0978,0.1173,7.916932
0.1075,0.0978,0.132,0.0929,0.088,7.941892
0.0782,0.0929,0.0929,0.0831,0.1075,7.966852
0.1417,0.1271,0.0782,0.1417,0.1124,7.991812
0.088,0.0831,0.0978,0.088,0.0684,8.016772
0.1369,0.0831,0.0733,0.1026,0.1613,8.041732
0.0929,0.0684,0.0978,0.0831,0.0929,8.066692
0.0978,0.1075,0.088,0.1417,0.1075,8.09166
0.1173,0.1075,0.0831,0.1417,0.1808,8.116612
0.0831,0.1075,0.0978,0.1026,0.0684,8.141572
0.1369,0.1124,0.088,0.0782,0.0831,8.166532
0.1026,0.0831,0.0782,0.0831,0.0782,8.191492
0.0831,0.0733,0.0831,0.0684,0.0782,8.216452
0.1075,0.1026,0.0782,0.088,0.088,8.241412
0.1026,0.0782,0.0929,0.0831,0.0929,8.266372
0.1075,0.1515,0.1222,0.0733,0.1857,8.29134
0.132,0.0782,0.0782,0.0782,0.1124,8.316292
0.088,0.0782,0.088,0.0684,0.1124,8.341252
0.1515,0.1026,0.1173,0.0684,0.1026,8.366212
0.1173,0.0831,0.088,0.088,0.0782,8.391172
0.0782,0.1369,0.1026,0.132,0.1075,8.416132
0.0782,0.0684,0.0733,0.0831,0.0782,8.441092
0.0831,0.1026,0.1124,0.0831,0.0831,8.466052
0.0978,0.1075,0.1222,0.0929,0.0831,8.49102
0.1124,0.1124,0.0733,0.1369,0.1417,8.515972
0.1124,0.088,0.1075,0.1515,0.0782,8.540932
0.0978,0.1417,0.0831,0.0782,0.1222,8.565892
0.0782,0.1173,0.1124,0.1515,0.088,8.590852
0.0684,0.1124,0.1222,0.0733,0.0733,8.615812
0.088,0.1075,0.1417,0.1124,0.1515,8.640772
0.0782,0.1173,0.0782,0.1075,0.1369,8.665732
0.1271,0.1564,0.1173,0.132,0.132,8.6907
0.0782,0.0929,0.1515,0.0733,0.1271,8.715652
0.1369,0.1124,0.1857,0.1613,0.1417,8.740612
0.1075,0.0831,0.0684,0.088,0.0929,8.765572
0.1075,0.1222,0.1711,0.1173,0.0782,8.790532
0.1026,0.0929,0.1026,0.0929,0.0782,8.815492
0.0831,0.0831,0.0782,0.0978,0.0782,8.840452
0.088,0.0831,0.0929,0.1124,0.1026,8.865412
0.088,0.0929,0.1173,0.1271,0.0929,8.89038
0.1075,0.0587,0.0978,0.0978,0.1124,8.915332
0.0978,0.0733,0.0782,0.132,0.1075,8.940292
0.0978,0.0831,0.0831,0.1026,0.0733,8.965252
0.0782,0.1564,0.1222,0.1564,0.0831,8.990212
0.0978,0.0929,0.0782,0.0782,0.1124,9.015172
0.0929,0.0929,0.0782,0.1222,0.0978,9.040132
0.088,0.0782,0.1173,0.1026,0.0978,9.065092
0.1417,0.1466,0.0929,0.0831,0.1124,9.09006
0.1369,0.0978,0.0929,0.1417,0.1026,9.115012
0.1271,0.1222,0.088,0.0684,0.1124,9.139972
0.0831,0.088,0.0831,0.0782,0.088,9.164932
0.0978,0.1026,0.0684,0.0733,0.0929,9.189892
0.0929,0.0782,0.0782,0.1026,0.0831,9.214852
0.0782,0.1026,0.0978,0.0782,0.088,9.239812
0.1222,0.0831,0.0733,0.0733,0.0684,9.264772
0.0831,0.1124,0.1075,0.1515,0.1515,9.28974
0.1075,0.0929,0.1271,0.1564,0.1173,9.314692
0.1906,0.0782,0.0733,0.1369,0.0978,9.339652
0.0978,0.1515,0.176,0.132,0.1124,9.364612
0.0929,0.1466,0.1124,0.1515,0.1417,9.389572
0.1369,0.1271,0.1369,0.1369,0.1662,9.414532
0.1026,0.132,0.1515,0.1026,0.0978,9.439492
0.088,0.1124,0.1075,0.1026,0.1369,9.464452
0.088,0.132,0.088,0.0929,0.1124,9.48942
0.0782,0.088,0.0831,0.0782,0.0929,9.514372
0.0733,0.0782,0.0782,0.0978,0.1075,9.539332
0.088,0.0782,0.1173,0.1369,0.1075,9.564292
0.0978,0.088,0.088,0.0733,0.0684,9.589252
0.1075,0.088,0.0587,0.0782,0.0684,9.614212
0.0831,0.0782,0.0929,0.0831,0.0782,9.639172
0.0782,0.0733,0.1075,0.088,0.088,9.664132
0.0978,0.1271,0.132,0.1075,0.1271,9.6891
0.0929,0.1075,0.0733,0.088,0.0782,9.714052
0.1124,0.0831,0.0831,0.1026,0.1271,9.739012
0.0929,0.1711,0.1124,0.132,0.1222,9.763972
0.1466,0.0831,0.0782,0.1075,0.0978,9.788932
0.0782,0.1222,0.1515,0.1124,0.0831,9.813892
0.088,0.1955,0.1075,0.1417,0.1271,9.838852
0.0831,0.0782,0.1222,0.0733,0.0733,9.863812
0.0782,0.0929,0.1026,0.0733,0.1075,9.88878
0.0929,0.0782,0.1075,0.0635,0.1124,9.913732
0.1271,0.1222,0.1613,0.0782,0.1075,9.938692
0.0929,0.0929,0.0929,0.0733,0.0831,9.963652
0.1026,0.088,0.0831,0.0733,0.088,9.988612
0.0831,0.088,0.0831,0.0733,0.0684,10.013572
0.0978,0.0782,0.0782,0.0929,0.0978,10.039572
0.1026,0.1124,0.0782,0.1173,0.0733,10.065572
0.0978,0.0782,0.0978,0.088,0.1222,10.091572
0.0978,0.0929,0.1173,0.1711,0.1662,10.117572
0.1075,0.1466,0.0733,0.1124,0.1222,10.143572
0.0929,0.1417,0.1124,0.0782,0.0831,10.169572
0.1417,0.1808,0.0831,0.0782,0.0978,10.195572
0.1173,0.0929,0.1369,0.1124,0.1271,10.22158
0.0978,0.0782,0.1466,0.132,0.0684,10.247572
0.1271,0.1173,0.1026,0.0831,0.1075,10.273572
0.1124,0.0733,0.0831,0.0978,0.0782,10.299572
0.0929,0.1026,0.0978,0.1222,0.1075,10.325572
0.0831,0.1222,0.1124,0.1026,0.1075,10.351572
0.0782,0.1026,0.0929,0.0929,0.1124,10.377572
0.1271,0.1173,0.1173,0.0782,0.0782,10.403572
0.0684,0.0831,0.0782,0.088,0.088,10.429572
0.1075,0.0782,0.0782,0.1026,0.1075,10.455572
0.088,0.1271,0.1075,0.1222,0.088,10.481572
0.0831,0.1124,0.0978,0.1515,0.0635,10.507572
0.1075,0.1662,0.1369,0.0782,0.0978,10.533572
0.0831,0.0831,0.0929,0.1075,0.1026,10.559572
0.176,0.0782,0.0978,0.1124,0.1369,10.585572
0.0978,0.1222,0.0587,0.0684,0.0782,10.611572
0.1026,0.0831,0.1075,0.088,0.1369,10.637572
0.1857,0.1906,0.1222,0.088,0.0831,10.663572
0.088,0.088,0.0831,0.1026,0.1026,10.689572
0.0684,0.088,0.0733,0.1026,0.1026,10.715572
0.0929,0.0929,0.088,0.0929,0.1515,10.741572
0.1075,0.132,0.088,0.0831,0.1173,10.767572
0.1271,0.0782,0.0782,0.0978,0.0978,10.793572
0.1026,0.0929,0.0782,0.0733,0.0733,10.819572
0.1222,0.1222,0.1369,0.1075,0.1026,10.845572
0.1369,0.1222,0.0929,0.132,0.1466,10.871572
0.088,0.088,0.1271,0.0831,0.1124,10.897572
0.0929,0.0929,0.2102,0.0978,0.0831,10.923572
0.0978,0.088,0.1026,0.0978,0.0782,10.949572
0.1564,0.0978,0.0978,0.1173,0.088,10.975572
0.1417,0.1222,0.1369,0.1173,0.1173,11.001572
0.0733,0.088,0.1222,0.1075,0.0978,11.027572
0.1124,0.1026,0.1417,0.0929,0.1515,11.053572
0.1466,0.132,0.088,0.1026,0.0978,11.079572
0.1124,0.0929,0.0929,0.0929,0.0733,11.105572
0.1124,0.0929,0.0733,0.0684,0.0684,11.131572
0.088,0.1026,0.0929,0.0684,0.1075,11.157572
0.088,0.0978,0.0684,0.1369,0.1369,11.183572
0.0929,0.1515,0.1173,0.0782,0.1173,11.209572
0.1124,0.0684,0.0831,0.1417,0.0978,11.235572
0.1515,0.1173,0.1075,0.1613,0.0978,11.261572
0.132,0.0684,0.1417,0.088,0.1124,11.287572
0.088,0.0635,0.0782,0.0635,0.1075,11.313572
0.1173,0.0587,0.0684,0.132,0.1075,11.339572
0.1124,0.1369,0.0831,0.1026,0.1124,11.365572
0.1026,0.0684,0.0782,0.1515,0.1173,11.391572
0.132,0.0929,0.1124,0.1613,0.1857,11.417572
0.088,0.0684,0.2053,0.0831,0.176,11.443572
0.0929,0.0929,0.0684,0.0733,0.132,11.469572
0.1906,0.1466,0.1173,0.132,0.132,11.495572
0.0831,0.0733,0.0684,0.088,0.0831,11.521572
0.1026,0.0831,0.0831,0.0831,0.1466,11.547572
0.1711,0.1075,0.132,0.1417,0.0733,11.573572
0.0831,0.0684,0.088,0.1271,0.1808,11.599572
0.088,0.088,0.1417,0.1026,0.088,11.625572
0.132,0.1026,0.1515,0.0978,0.0684,11.651572
0.0831,0.088,0.1124,0.1075,0.1075,11.677572
0.1026,0.0733,0.1124,0.0733,0.0733,11.703572
0.0733,0.0782,0.0929,0.1026,0.088,11.729572
0.132,0.132,0.1222,0.0978,0.1222,11.755572
0.1026,0.0831,0.0635,0.132,0.1124,11.781572
0.1369,0.1026,0.1222,0.132,0.0978,11.807572
0.0684,0.1075,0.176,0.1711,0.0733,11.833572
0.088,0.0831,0.1515,0.1271,0.1417,11.859572
0.0978,0.0733,0.132,0.1417,0.088,11.88558
0.1026,0.0782,0.0978,0.0733,0.0831,11.911572
0.1466,0.1222,0.132,0.1026,0.1271,11.937572
0.1124,0.1515,0.176,0.0929,0.132,11.963572
0.0929,0.1417,0.0782,0.0978,0.088,11.989572
0.0978,0.0831,0.1075,0.1124,0.0684,12.015572
0.0978,0.088,0.1075,0.0929,0.1026,12.041572
