Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.3079,0.088,0.044,0.0635,0.088,6.586452
0.0391,0.0635,0.0978,0.0929,0.044,6.587976
0.1026,0.0489,0.0684,0.1026,0.088,6.589348
0.0684,0.0391,0.088,0.0587,0.0587,6.590932
0.0587,0.0342,0.0489,0.0391,0.0587,6.614852
0.088,0.044,0.0342,0.0391,0.1417,6.637732
0.0489,0.0978,0.044,0.044,0.0831,6.659572
0.0587,0.0489,0.0538,0.0538,0.0391,6.682452
0.0635,0.1026,0.0635,0.0929,0.0929,6.706372
0.0391,0.0587,0.1026,0.0489,0.0538,6.731332
0.044,0.0635,0.0489,0.0391,0.0587,6.755252
0.0391,0.0782,0.2297,0.0489,0.0587,6.778132
0.0831,0.0978,0.0587,0.044,0.2297,6.802052
0.0587,0.0587,0.1515,0.0391,0.2688,6.825972
0.259,0.1515,0.1124,0.1222,0.1808,6.849892
0.1515,0.1564,0.1515,0.1026,0.0978,6.874852
0.0782,0.1173,0.1075,0.0978,0.0635,6.899812
0.1417,0.1124,0.0782,0.0538,0.1075,6.924772
0.0831,0.0831,0.0733,0.0733,0.0733,6.949732
0.0293,0.0831,0.0831,0.1026,0.0538,6.974692
0.0587,0.0489,0.0587,0.0342,0.0538,6.998612
0.0782,0.0635,0.0538,0.0635,0.0733,7.022532
0.0929,0.0391,0.0538,0.044,0.0293,7.047492
0.1173,0.1711,0.132,0.0831,0.0391,7.069332
0.0831,0.0538,0.0929,0.0782,0.0538,7.09326
0.0587,0.2297,0.1515,0.0587,0.2688,7.118212
0.1124,0.0782,0.0391,0.044,0.1808,7.143172
0.0587,0.0782,0.1906,0.2493,0.0684,7.166052
0.0782,0.1222,0.0391,0.3079,0.1222,7.191012
0.1369,0.1857,0.0782,0.1711,0.3421,7.214932
0.1906,0.0489,0.1515,0.1564,0.1222,7.239892
0.2102,0.1124,0.2053,0.1857,0.1173,7.264852
0.0831,0.0733,0.088,0.0587,0.0733,7.289812
0.0831,0.0782,0.0978,0.0782,0.088,7.314772
0.0929,0.0733,0.0489,0.044,0.0635,7.339732
0.0587,0.0635,0.0489,0.0635,0.0733,7.363652
0.044,0.0391,0.044,0.0587,0.0684,7.388612
0.0391,0.0587,0.0391,0.0489,0.0391,7.410452
0.0391,0.0635,0.0538,0.044,0.0342,7.432292
0.0391,0.0538,0.0391,0.0391,0.0489,7.454132
0.0635,0.088,0.088,0.1515,0.0489,7.475972
0.2004,0.088,0.2199,0.1564,0.1515,7.500932
0.1124,0.1026,0.0782,0.2053,0.0929,7.525892
0.088,0.0831,0.1173,0.1711,0.0978,7.550852
0.1417,0.1173,0.0489,0.0782,0.0978,7.575812
0.2297,0.1564,0.176,0.2102,0.0538,7.600772
0.0489,0.1711,0.132,0.0391,0.0391,7.62574
0.1124,0.0391,0.0929,0.1124,0.1075,7.648612
0.0782,0.0782,0.0929,0.0538,0.0587,7.672532
0.0391,0.1124,0.088,0.0489,0.1026,7.697492
0.0489,0.0587,0.0391,0.0733,0.0733,7.721412
0.0391,0.0587,0.0391,0.044,0.0538,7.745332
0.0391,0.0538,0.0635,0.0684,0.0538,7.767172
0.0831,0.044,0.0587,0.0391,0.0831,7.791092
0.0635,0.0489,0.0831,0.0587,0.044,7.813972
0.0489,0.1026,0.0489,0.2297,0.1515,7.837892
0.1173,0.1417,0.2297,0.1808,0.0538,7.862852
0.0831,0.1173,0.3079,0.1955,0.1271,7.887812
0.0733,0.0391,0.0489,0.1075,0.0733,7.912772
0.132,0.1026,0.1417,0.044,0.2102,7.936692
0.132,0.1564,0.1466,0.0733,0.0489,7.960612
0.0635,0.1271,0.0831,0.0831,0.0733,7.985572
0.088,0.0538,0.0391,0.0733,0.0733,8.010532
0.0635,0.044,0.0684,0.0733,0.0342,8.034452
0.0733,0.0635,0.0635,0.0635,0.0635,8.057332
0.0391,0.0684,0.0538,0.0733,0.1026,8.082292
0.044,0.0391,0.0733,0.1124,0.0733,8.106212
0.0489,0.0635,0.0587,0.0733,0.0929,8.129092
0.0733,0.0587,0.0831,0.0391,0.0733,8.154052
0.0391,0.0733,0.0489,0.088,0.0587,8.177972
0.088,0.0635,0.0635,0.0929,0.1026,8.201892
0.1124,0.0635,0.0489,0.1662,0.0782,8.226852
0.259,0.2297,0.088,0.1222,0.0782,8.251812
0.2199,0.0929,0.176,0.1515,0.0489,8.276772
0.0489,0.1124,0.2688,0.0782,0.1271,8.301732
0.0782,0.0684,0.0684,0.1124,0.0929,8.326692
0.0782,0.044,0.0489,0.132,0.088,8.351652
0.1124,0.2297,0.1515,0.0684,0.0733,8.375572
0.0587,0.1124,0.1515,0.0782,0.0538,8.400532
0.088,0.0733,0.132,0.132,0.0635,8.425492
0.0391,0.0587,0.0391,0.0831,0.044,8.450452
0.0929,0.044,0.0391,0.0635,0.0929,8.472292
0.0733,0.0733,0.0391,0.0293,0.0831,8.495172
0.0293,0.0538,0.0684,0.0587,0.0391,8.518052
0.0684,0.0489,0.0831,0.0391,0.0587,8.540932
0.0587,0.0489,0.044,0.0391,0.1173,8.564852
0.1075,0.0733,0.1026,0.0782,0.044,8.587732
0.1857,0.1075,0.0391,0.132,0.0782,8.611652
0.1564,0.0782,0.0782,0.0831,0.0978,8.635572
0.2297,0.1662,0.1369,0.1026,0.0635,8.660532
0.0684,0.0342,0.1124,0.0391,0.1271,8.685492
0.1222,0.0342,0.1124,0.0587,0.044,8.708372
0.0782,0.0684,0.0587,0.0587,0.0587,8.731252
0.0538,0.0538,0.0684,0.0733,0.0587,8.756212
0.0587,0.0978,0.1026,0.088,0.0782,8.781172
0.0587,0.044,0.0391,0.044,0.0538,8.806132
0.0489,0.0391,0.044,0.044,0.044,8.827972
0.0489,0.0635,0.044,0.0635,0.0635,8.848772
0.044,0.044,0.1026,0.0929,0.0489,8.872692
0.0489,0.0489,0.0489,0.0733,0.044,8.895572
0.0244,0.1026,0.0538,0.0635,0.1075,8.919492
0.0391,0.0293,0.0733,0.0587,0.176,8.943412
0.0244,0.1906,0.1711,0.0391,0.044,8.966292
0.1271,0.2004,0.2199,0.0489,0.3372,8.988132
0.0978,0.1417,0.1026,0.0587,0.088,9.013092
0.0831,0.0391,0.0587,0.0391,0.0782,9.038052
0.1417,0.0489,0.0831,0.0635,0.0831,9.060932
0.0929,0.088,0.0489,0.0929,0.044,9.085892
0.0538,0.1222,0.0978,0.0782,0.0635,9.109812
0.0782,0.0587,0.1271,0.132,0.0489,9.134772
0.0489,0.0978,0.1271,0.0684,0.0391,9.159732
0.0489,0.0587,0.044,0.0684,0.0733,9.183652
0.0244,0.0391,0.0538,0.0733,0.0635,9.207572
0.0733,0.0587,0.0831,0.0733,0.0929,9.230452
0.0538,0.0831,0.0733,0.0587,0.0733,9.255412
0.0684,0.0635,0.0489,0.0635,0.0733,9.280372
0.0782,0.0733,0.1075,0.0831,0.1808,9.305332
0.0929,0.1906,0.3128,0.0635,0.0391,9.330292
0.0587,0.0391,0.1466,0.1808,0.2395,9.354212
0.1026,0.132,0.1222,0.1075,0.1564,9.378132
0.0684,0.176,0.0587,0.0587,0.1124,9.403092
0.1417,0.0489,0.0391,0.1124,0.1124,9.428052
0.0684,0.0782,0.0489,0.088,0.0733,9.451972
0.044,0.0538,0.0391,0.0587,0.0831,9.476932
0.0587,0.088,0.0489,0.0831,0.0635,9.499812
0.0391,0.0538,0.044,0.0538,0.0538,9.524772
0.0391,0.044,0.0684,0.0391,0.0391,9.547652
0.0391,0.0538,0.044,0.0635,0.044,9.568452
0.0635,0.0489,0.0782,0.0342,0.0587,9.590292
0.0733,0.044,0.0538,0.0489,0.0489,9.614212
0.0684,0.0538,0.0733,0.176,0.1369,9.638132
0.1173,0.0635,0.132,0.044,0.0635,9.663092
0.0489,0.1417,0.2884,0.1515,0.044,9.687012
0.0587,0.1124,0.1662,0.0489,0.1124,9.710932
0.0831,0.2639,0.1271,0.1613,0.0782,9.735892
0.1564,0.2102,0.1417,0.1075,0.1808,9.760852
0.0587,0.1222,0.0538,0.0635,0.044,9.785812
0.088,0.0635,0.0684,0.0538,0.0684,9.809732
0.0391,0.0538,0.088,0.0587,0.0538,9.834692
0.0684,0.0733,0.0684,0.0538,0.044,9.858612
0.0635,0.0489,0.0684,0.0635,0.0587,9.882532
0.0391,0.0391,0.0684,0.0733,0.0342,9.907492
0.0978,0.0929,0.0391,0.044,0.0782,9.929332
0.0929,0.0635,0.0635,0.0684,0.0782,9.952212
0.0538,0.0684,0.044,0.0782,0.0635,9.977172
0.0684,0.0635,0.0538,0.0538,0.0733,10.001092
0.0635,0.0733,0.1662,0.0831,0.0831,10.027092
0.1515,0.1222,0.0733,0.2981,0.1075,10.053092
0.2884,0.2297,0.0587,0.0782,0.0489,10.079092
0.0684,0.1271,0.0929,0.0929,0.0489,10.105092
0.0489,0.1564,0.044,0.1857,0.0782,10.131092
0.0684,0.132,0.1906,0.0929,0.044,10.156052
0.0391,0.0733,0.0684,0.044,0.0929,10.181012
0.0831,0.0635,0.0342,0.0587,0.0831,10.204932
0.0391,0.088,0.0489,0.0635,0.044,10.229892
0.0733,0.0733,0.044,0.0489,0.0733,10.253812
0.0831,0.0342,0.044,0.0635,0.0391,10.278772
0.0587,0.044,0.044,0.0489,0.0733,10.301652
0.0489,0.0391,0.0733,0.0489,0.0538,10.325572
0.0391,0.1026,0.0538,0.0587,0.1124,10.350532
0.0733,0.0538,0.0782,0.0929,0.044,10.375492
0.0391,0.1466,0.0782,0.1124,0.0635,10.400452
0.1417,0.1515,0.176,0.0587,0.0733,10.425412
0.0391,0.1613,0.0391,0.0391,0.0831,10.451412
0.132,0.0587,0.0733,0.0978,0.1662,10.474292
0.0733,0.0929,0.1271,0.0489,0.0293,10.500292
0.1222,0.0587,0.0538,0.0733,0.044,10.525252
0.0489,0.0391,0.0489,0.0391,0.0391,10.550212
0.0831,0.0489,0.0391,0.0587,0.088,10.573092
0.0684,0.0391,0.0733,0.0635,0.0733,10.598052
0.0635,0.0342,0.1075,0.044,0.0635,10.623012
0.0782,0.0733,0.0684,0.0391,0.0635,10.646932
0.1124,0.0587,0.0391,0.0831,0.0538,10.671892
0.0293,0.0635,0.0733,0.0538,0.0538,10.696852
0.0489,0.0733,0.0489,0.1075,0.0782,10.721812
0.0684,0.0391,0.0587,0.1906,0.1466,10.747812
0.0391,0.044,0.0391,0.3079,0.3079,10.772772
0.1124,0.0489,0.1515,0.0929,0.0538,10.795652
0.1417,0.0587,0.1711,0.1222,0.088,10.821652
0.1271,0.0391,0.0635,0.0489,0.1515,10.847652
0.132,0.0587,0.1173,0.0831,0.0391,10.872612
0.0538,0.0684,0.0929,0.0342,0.0684,10.897572
0.0538,0.0587,0.0489,0.0733,0.0587,10.922532
0.0635,0.0782,0.044,0.0538,0.0391,10.948532
0.0733,0.0733,0.0978,0.0489,0.1026,10.972452
0.0733,0.0342,0.088,0.0391,0.0635,10.998452
0.0831,0.0391,0.044,0.0538,0.0391,11.022372
0.0391,0.0684,0.0733,0.0635,0.0782,11.045252
0.0684,0.0587,0.0391,0.044,0.0391,11.070212
0.0342,0.0489,0.0538,0.0489,0.0489,11.093092
0.0684,0.1026,0.0196,0.176,0.0782,11.118052
0.1662,0.0391,0.1564,0.088,0.0684,11.143012
0.1711,0.0978,0.2493,0.0978,0.347,11.167972
0.1466,0.1515,0.0489,0.1955,0.0782,11.193972
0.0733,0.0489,0.0929,0.0782,0.1075,11.21998
0.088,0.044,0.0587,0.044,0.0733,11.245972
0.0782,0.0733,0.0733,0.0635,0.0244,11.269892
0.0831,0.0587,0.088,0.0538,0.0391,11.294852
0.0489,0.0782,0.0391,0.0489,0.0391,11.319812
0.0538,0.0587,0.0733,0.0391,0.0782,11.343732
0.088,0.0831,0.0635,0.0489,0.0391,11.368692
0.0538,0.0635,0.0391,0.044,0.0342,11.393652
0.0489,0.044,0.0293,0.0733,0.0391,11.416532
0.0391,0.0684,0.0635,0.0684,0.044,11.439412
0.1124,0.0489,0.0489,0.132,0.0782,11.463332
0.044,0.0733,0.2493,0.176,0.0782,11.489332
0.0684,0.0733,0.0978,0.132,0.0978,11.514292
0.1564,0.1417,0.0684,0.2199,0.2004,11.540292
0.1222,0.1026,0.0733,0.1564,0.044,11.566292
0.0782,0.3079,0.1173,0.044,0.1222,11.591252
0.0929,0.0489,0.0978,0.0733,0.0489,11.616212
0.0489,0.0684,0.0684,0.0733,0.0684,11.642212
0.0684,0.0635,0.0489,0.044,0.0489,11.668212
0.0733,0.0684,0.0733,0.0538,0.0538,11.693172
