Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2835,0.0782,0.1173,0.1222,0.1026,6.586452
0.1124,0.0929,0.0489,0.0635,0.0929,6.588024
0.0587,0.0587,0.0538,0.0391,0.0391,6.589504
0.0391,0.0929,0.0733,0.1026,0.0538,6.591972
0.0587,0.2688,0.1711,0.1271,0.1026,6.615892
0.0587,0.0538,0.044,0.0635,0.0782,6.640852
0.0635,0.1026,0.0635,0.0587,0.0587,6.664772
0.0684,0.0782,0.1026,0.0538,0.1124,6.689732
0.0489,0.0538,0.0929,0.0587,0.0538,6.714692
0.0489,0.0391,0.0538,0.0489,0.044,6.739652
0.0538,0.0635,0.0489,0.0978,0.2688,6.762532
0.0782,0.0587,0.0684,0.0733,0.0733,6.787492
0.0684,0.0489,0.0782,0.0684,0.0635,6.812452
0.0733,0.088,0.0538,0.088,0.0684,6.837412
0.0587,0.0733,0.0733,0.0391,0.1026,6.862372
0.0782,0.1026,0.1124,0.0929,0.0489,6.886292
0.0684,0.0929,0.0391,0.0684,0.0635,6.911252
0.0929,0.0978,0.088,0.0587,0.0635,6.935172
0.0733,0.0635,0.1173,0.1124,0.044,6.96014
0.0587,0.0489,0.0391,0.0635,0.0587,6.984052
0.0831,0.0391,0.0587,0.0391,0.0587,7.007972
0.0489,0.0538,0.0587,0.0489,0.0635,7.030852
0.1124,0.0733,0.0733,0.0782,0.044,7.055812
0.0782,0.0587,0.0587,0.0635,0.0929,7.079732
0.0684,0.044,0.0684,0.0538,0.0831,7.104692
0.044,0.0391,0.1515,0.0733,0.0391,7.128612
0.0782,0.1271,0.1026,0.088,0.0635,7.150452
0.1124,0.1026,0.044,0.1271,0.1369,7.175412
0.0782,0.1417,0.0782,0.1075,0.088,7.199332
0.0733,0.1124,0.1026,0.0587,0.0391,7.224292
0.1173,0.1711,0.1124,0.088,0.088,7.248212
0.088,0.0733,0.132,0.044,0.088,7.273172
0.0782,0.0538,0.1124,0.0538,0.0978,7.297092
0.0489,0.0929,0.1222,0.1075,0.0587,7.322052
0.088,0.0635,0.132,0.0782,0.1075,7.347012
0.0733,0.132,0.1222,0.1124,0.0929,7.371972
0.0635,0.1026,0.0635,0.044,0.0733,7.396932
0.0489,0.0538,0.0538,0.0635,0.0538,7.420852
0.0587,0.0587,0.0587,0.0684,0.0684,7.445812
0.1906,0.1466,0.0684,0.0391,0.0684,7.470772
0.0538,0.0489,0.0635,0.0391,0.1124,7.494692
0.1124,0.0391,0.044,0.0929,0.0831,7.518612
0.0684,0.0684,0.132,0.0489,0.1124,7.541492
0.1222,0.0782,0.0782,0.1515,0.1515,7.566452
0.0635,0.1026,0.088,0.0684,0.1026,7.591412
0.1711,0.0587,0.088,0.1124,0.0831,7.616372
0.0635,0.1173,0.2346,0.2297,0.1906,7.641332
0.0489,0.0782,0.1124,0.1173,0.0635,7.666292
0.1026,0.0489,0.0831,0.0782,0.0684,7.691252
0.0587,0.1515,0.1515,0.0538,0.0782,7.716212
0.0929,0.0782,0.0684,0.0489,0.044,7.741172
0.0635,0.0538,0.044,0.0587,0.0587,7.765092
0.1026,0.0587,0.088,0.0782,0.0929,7.789012
0.1515,0.1026,0.0733,0.088,0.0782,7.813972
0.088,0.0538,0.1026,0.0978,0.1564,7.838932
0.0831,0.0489,0.1173,0.2004,0.0635,7.863892
0.0978,0.1075,0.2199,0.0733,0.088,7.888852
0.1417,0.044,0.0538,0.132,0.1515,7.913812
0.1271,0.1222,0.1808,0.0929,0.1271,7.937732
0.1466,0.1417,0.0782,0.1075,0.0782,7.962692
0.1026,0.0635,0.0733,0.1124,0.0538,7.987652
0.1808,0.0684,0.0929,0.1173,0.1369,8.012612
0.0782,0.044,0.0684,0.0538,0.0978,8.037572
0.0635,0.0538,0.044,0.0635,0.0587,8.061492
0.088,0.0635,0.2053,0.0978,0.0489,8.085412
0.0978,0.0929,0.0684,0.0978,0.0684,8.110372
0.0391,0.1124,0.044,0.0587,0.1026,8.135332
0.044,0.132,0.1173,0.0831,0.088,8.15822
0.0538,0.1417,0.1271,0.0635,0.088,8.182132
0.132,0.0635,0.0391,0.088,0.088,8.207092
0.0929,0.0929,0.0782,0.0684,0.1222,8.231012
0.0782,0.1026,0.0635,0.088,0.0538,8.255972
0.0978,0.132,0.0929,0.1808,0.0587,8.280932
0.1515,0.1515,0.1173,0.0684,0.1124,8.305892
0.1173,0.0684,0.1711,0.088,0.1369,8.330852
0.0782,0.1026,0.0391,0.0587,0.0635,8.355812
0.1026,0.1417,0.0587,0.0684,0.0684,8.379732
0.0587,0.0587,0.0831,0.0587,0.0733,8.404692
0.0635,0.0635,0.044,0.1124,0.0831,8.429652
0.0587,0.0684,0.0831,0.044,0.0587,8.453572
0.0391,0.044,0.044,0.0684,0.0978,8.477492
0.0489,0.0733,0.0587,0.0587,0.0733,8.499332
0.044,0.0831,0.1271,0.1417,0.132,8.524292
0.0733,0.0635,0.0684,0.1466,0.0684,8.548212
0.0489,0.0684,0.0929,0.1222,0.1222,8.573172
0.088,0.2151,0.0489,0.0587,0.1466,8.598132
0.0538,0.1124,0.0733,0.1124,0.0929,8.623092
0.1075,0.0929,0.1026,0.2004,0.088,8.648052
0.044,0.0538,0.0929,0.1124,0.0391,8.673012
0.0489,0.0831,0.0684,0.044,0.0538,8.695892
0.0489,0.132,0.0929,0.1417,0.0733,8.719812
0.0391,0.0733,0.0929,0.0587,0.0489,8.744772
0.0538,0.0489,0.0587,0.0782,0.0684,8.768692
0.0733,0.088,0.1026,0.088,0.0831,8.793652
0.2053,0.1515,0.2053,0.0978,0.1271,8.818612
0.1026,0.1075,0.0684,0.0391,0.0929,8.843572
0.088,0.0489,0.0782,0.0489,0.088,8.867492
0.1124,0.0684,0.0684,0.0635,0.0635,8.892452
0.0489,0.1075,0.0391,0.0929,0.0831,8.917412
0.0978,0.044,0.0587,0.1173,0.0538,8.941332
0.1515,0.0782,0.0587,0.0489,0.176,8.965252
0.0733,0.259,0.2688,0.132,0.1075,8.990212
0.0831,0.132,0.1466,0.132,0.1417,9.015172
0.0733,0.0587,0.0978,0.088,0.0684,9.040132
0.0489,0.0831,0.0635,0.0635,0.0538,9.065092
0.1222,0.1124,0.0489,0.0489,0.0489,9.09006
0.044,0.0587,0.0684,0.0391,0.0489,9.115012
0.0635,0.044,0.0831,0.0831,0.0635,9.137892
0.0538,0.0587,0.1124,0.0391,0.0684,9.161812
0.0831,0.044,0.044,0.0782,0.0538,9.185732
0.0782,0.1222,0.0782,0.0929,0.0635,9.208612
0.1857,0.2297,0.0587,0.1711,0.0635,9.233572
0.132,0.0978,0.1075,0.1124,0.0538,9.258532
0.176,0.1369,0.0391,0.0782,0.1466,9.283492
0.1124,0.1124,0.0587,0.0489,0.1808,9.307412
0.0782,0.0489,0.1369,0.1711,0.0684,9.332372
0.0538,0.1026,0.0587,0.0391,0.0587,9.357332
0.0538,0.0733,0.0489,0.0635,0.0782,9.381252
0.0391,0.0684,0.0587,0.0782,0.0635,9.406212
0.0587,0.0489,0.044,0.0587,0.044,9.430132
0.0489,0.0733,0.0782,0.0831,0.0929,9.453012
0.044,0.1026,0.0587,0.0489,0.0684,9.477972
0.0635,0.0391,0.088,0.0929,0.1026,9.501892
0.0587,0.1222,0.0733,0.0733,0.0587,9.525812
