Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2933,0.044,0.0489,0.0391,0.0293,6.586452
0.1124,0.0293,0.0635,0.1124,0.088,6.587884
0.0929,0.0733,0.0391,0.0489,0.0684,6.589304
0.0489,0.0684,0.088,0.0733,0.044,6.590736
0.0391,0.1026,0.1124,0.0587,0.0391,6.612772
0.0733,0.0489,0.0684,0.044,0.0538,6.635652
0.0635,0.0538,0.0587,0.0391,0.0391,6.659572
0.0489,0.1173,0.0391,0.0489,0.0684,6.682452
0.0489,0.0391,0.044,0.0538,0.0538,6.706372
0.0391,0.044,0.0831,0.0538,0.1124,6.729252
0.0684,0.0391,0.0684,0.0391,0.0489,6.752132
0.0587,0.0978,0.1906,0.0587,0.0538,6.775012
0.0733,0.0391,0.0929,0.0489,0.044,6.799972
0.0489,0.0391,0.0489,0.0831,0.0733,6.822852
0.0587,0.0489,0.0489,0.0391,0.0489,6.846772
0.1026,0.1026,0.0733,0.0733,0.0733,6.870692
0.044,0.1466,0.0587,0.1271,0.0635,6.895652
0.044,0.0635,0.1026,0.044,0.1222,6.919572
0.0391,0.0587,0.132,0.1515,0.1222,6.942452
0.0782,0.0391,0.0733,0.1271,0.132,6.966372
0.0782,0.044,0.044,0.0293,0.0538,6.990292
0.044,0.0391,0.044,0.0293,0.0391,7.012132
0.0587,0.0489,0.0293,0.044,0.0391,7.031892
0.1124,0.0391,0.088,0.0782,0.0391,7.053732
0.0831,0.0538,0.0391,0.0587,0.0733,7.076612
0.0293,0.0538,0.0391,0.0733,0.0684,7.100532
0.0733,0.0684,0.0831,0.0587,0.0782,7.123412
0.0489,0.0684,0.0831,0.044,0.0538,7.148372
0.0587,0.1222,0.0684,0.2199,0.1515,7.172292
0.0831,0.0929,0.1173,0.132,0.0929,7.197252
0.1173,0.0587,0.0587,0.0831,0.132,7.222212
0.1711,0.0733,0.044,0.0538,0.0293,7.247172
0.0929,0.0489,0.1026,0.044,0.0733,7.270052
0.1026,0.0587,0.0733,0.0293,0.0684,7.293972
0.0831,0.0635,0.0831,0.0929,0.0733,7.317892
0.0538,0.0978,0.0929,0.0929,0.0733,7.342852
0.0929,0.0831,0.0391,0.1466,0.0587,7.367812
0.0929,0.0293,0.0538,0.044,0.044,7.391732
0.0635,0.0342,0.0587,0.0391,0.0538,7.413572
0.0684,0.0342,0.0391,0.0391,0.0587,7.436452
0.088,0.0782,0.1955,0.088,0.132,7.458292
