Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2835,0.0929,0.0684,0.0587,0.0684,6.586452
0.0391,0.0587,0.1026,0.1222,0.0587,6.588024
0.1271,0.0489,0.0831,0.1075,0.0733,6.589456
0.0733,0.0635,0.0978,0.0635,0.0929,6.593012
0.1173,0.1613,0.0978,0.1124,0.0978,6.617972
0.0684,0.0587,0.088,0.0733,0.0489,6.642932
0.0978,0.0635,0.0733,0.0635,0.0587,6.667892
0.0538,0.0782,0.0782,0.0684,0.088,6.692852
0.0587,0.0635,0.0587,0.0684,0.0782,6.717812
0.0587,0.0538,0.044,0.0391,0.0733,6.742772
0.0538,0.0978,0.2981,0.0635,0.1173,6.765652
0.0978,0.0538,0.0978,0.0684,0.044,6.790612
0.0587,0.0733,0.0293,0.0733,0.0538,6.814532
0.0733,0.0489,0.0831,0.0782,0.0538,6.838452
0.0684,0.0684,0.0391,0.1124,0.1222,6.863412
0.1026,0.0489,0.0978,0.0587,0.0489,6.887332
0.0782,0.0489,0.0831,0.0587,0.1173,6.912292
0.0684,0.0635,0.0489,0.1662,0.1173,6.937252
0.1515,0.2102,0.0684,0.1222,0.0929,6.962212
0.0538,0.0684,0.0489,0.0635,0.0684,6.987172
0.0538,0.0635,0.044,0.0684,0.0733,7.012132
0.0635,0.0489,0.0684,0.1026,0.0489,7.036052
0.0782,0.0831,0.0489,0.0489,0.0831,7.061012
0.0733,0.0929,0.0489,0.088,0.1808,7.085972
0.0587,0.0489,0.044,0.0978,0.0733,7.110932
0.132,0.0587,0.0635,0.0929,0.0587,7.134852
0.0587,0.1124,0.0782,0.1613,0.0782,7.15982
0.1857,0.0635,0.0929,0.0635,0.0929,7.184772
0.0978,0.1222,0.0587,0.0538,0.0782,7.209732
0.0587,0.132,0.2004,0.0587,0.2199,7.234692
0.0635,0.0489,0.1026,0.0635,0.1515,7.259652
0.0929,0.044,0.0831,0.0782,0.1124,7.284612
0.0978,0.0831,0.0391,0.088,0.0635,7.308532
0.1124,0.088,0.132,0.0587,0.0929,7.332452
0.1271,0.0684,0.0587,0.0782,0.0391,7.357412
0.1026,0.0538,0.132,0.1515,0.0733,7.381332
0.0733,0.0733,0.0635,0.0538,0.0635,7.406292
0.0733,0.0538,0.0831,0.044,0.0489,7.431252
0.0489,0.0635,0.2102,0.1515,0.0733,7.455172
0.088,0.0587,0.0635,0.0538,0.044,7.480132
0.1026,0.1026,0.0978,0.0635,0.1124,7.504052
0.0929,0.0538,0.0782,0.0684,0.0733,7.529012
0.0733,0.0587,0.088,0.1417,0.0978,7.553972
0.1124,0.0635,0.0929,0.1515,0.0978,7.578932
0.0587,0.1124,0.1515,0.0782,0.1906,7.603892
0.132,0.0587,0.0684,0.0978,0.0831,7.628852
0.0489,0.0978,0.0978,0.2199,0.1026,7.653812
0.088,0.0635,0.1026,0.1271,0.0587,7.678772
0.0684,0.0733,0.0587,0.0538,0.1075,7.703732
0.1075,0.1075,0.0587,0.1026,0.088,7.728692
0.1026,0.0831,0.0684,0.0489,0.0733,7.753652
0.088,0.0831,0.1564,0.0489,0.0489,7.778612
0.1417,0.1026,0.1417,0.0733,0.1417,7.803572
0.0587,0.1124,0.0929,0.0782,0.088,7.828532
0.1075,0.1711,0.0587,0.088,0.0587,7.853492
0.0587,0.0782,0.0929,0.1124,0.1564,7.878452
0.1026,0.0635,0.0782,0.088,0.0538,7.903412
0.0293,0.1271,0.1173,0.1417,0.176,7.928372
0.0733,0.132,0.0489,0.1417,0.1515,7.952292
0.0929,0.1026,0.1369,0.0831,0.0489,7.977252
0.044,0.0684,0.1026,0.1613,0.0684,8.002212
0.0978,0.0635,0.0538,0.0733,0.0587,8.026132
0.0489,0.0538,0.0929,0.0733,0.0587,8.051092
0.0635,0.0538,0.1026,0.0782,0.1222,8.076052
0.0635,0.0684,0.0929,0.2102,0.0782,8.101012
0.0733,0.0635,0.0391,0.0733,0.0489,8.125972
0.0831,0.0733,0.0587,0.0587,0.1271,8.149892
0.0587,0.0635,0.0587,0.0978,0.0635,8.174852
0.1222,0.0684,0.1026,0.1222,0.1026,8.199812
0.044,0.1515,0.1124,0.0782,0.0587,8.22478
0.088,0.0831,0.0782,0.1515,0.1124,8.248692
0.1515,0.1466,0.1515,0.0831,0.1271,8.273652
0.2053,0.0489,0.0978,0.0831,0.132,8.298612
0.1662,0.0782,0.088,0.1222,0.132,8.323572
0.088,0.1075,0.0684,0.0831,0.0929,8.348532
0.1417,0.1515,0.0587,0.132,0.0782,8.373492
0.1026,0.0635,0.0978,0.0684,0.0635,8.398452
0.0587,0.0587,0.1075,0.0538,0.0587,8.423412
0.0489,0.0635,0.0587,0.0489,0.088,8.448372
0.0587,0.0538,0.044,0.0684,0.0782,8.473332
0.0587,0.0391,0.044,0.0391,0.0635,8.497252
0.0831,0.0635,0.0587,0.1026,0.1173,8.519092
0.1026,0.0733,0.0489,0.0489,0.1417,8.544052
0.0489,0.0733,0.0587,0.1124,0.132,8.569012
0.1271,0.0489,0.1955,0.0587,0.0391,8.593972
0.0684,0.1124,0.1222,0.0733,0.0733,8.617892
0.0782,0.2297,0.0635,0.0587,0.1906,8.642852
0.0733,0.0831,0.0587,0.1271,0.1075,8.667812
0.0538,0.0587,0.088,0.0635,0.044,8.692772
0.0489,0.0538,0.1271,0.0733,0.1222,8.716692
0.0684,0.0733,0.0587,0.044,0.0587,8.741652
0.0489,0.044,0.0538,0.0733,0.0733,8.765572
0.0684,0.088,0.0733,0.0733,0.0587,8.789492
0.2981,0.0782,0.0489,0.0978,0.1075,8.814452
0.0635,0.0782,0.0587,0.1026,0.1124,8.839412
0.0831,0.088,0.1515,0.088,0.1515,8.864372
0.0635,0.0684,0.0929,0.0391,0.088,8.889332
0.0538,0.0635,0.0489,0.1271,0.0684,8.913252
