Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.3079,0.0538,0.0587,0.0929,0.0831,6.58646
0.088,0.0733,0.0489,0.0782,0.1026,6.588032
0.0489,0.088,0.1026,0.0391,0.0587,6.589512
0.0489,0.0538,0.0831,0.0489,0.0391,6.593028
0.0635,0.0538,0.0684,0.1026,0.044,6.616948
0.044,0.0538,0.0733,0.0587,0.0635,6.640868
0.0391,0.044,0.044,0.0342,0.044,6.664788
0.0391,0.0391,0.0342,0.0684,0.0489,6.684548
0.0635,0.1026,0.0342,0.1026,0.088,6.706388
0.044,0.0635,0.044,0.0293,0.0489,6.730308
0.0684,0.1026,0.0733,0.1124,0.176,6.752148
0.1222,0.044,0.1906,0.2884,0.1906,6.777108
0.0831,0.0489,0.0782,0.1417,0.2297,6.801028
0.0391,0.2297,0.2297,0.1564,0.2297,6.825992
0.2102,0.2297,0.2102,0.1906,0.2395,6.849908
0.0587,0.1906,0.1711,0.0782,0.1515,6.874868
0.1026,0.1662,0.1369,0.2004,0.0978,6.899828
0.132,0.0929,0.0391,0.0489,0.0733,6.924788
0.044,0.0538,0.0489,0.0538,0.0782,6.948708
0.0733,0.0635,0.1124,0.0587,0.0587,6.972628
0.1026,0.0587,0.0391,0.0489,0.0538,6.997588
0.1026,0.0489,0.0635,0.0587,0.0538,7.021508
0.0391,0.0391,0.0391,0.0978,0.0782,7.046468
0.0391,0.1124,0.0587,0.0587,0.1222,7.068308
0.0929,0.0782,0.0391,0.0391,0.1808,7.092232
0.0489,0.0391,0.1417,0.176,0.2004,7.115108
0.1417,0.0489,0.1613,0.1124,0.0929,7.139028
0.0782,0.088,0.1564,0.0391,0.1124,7.163988
0.1026,0.0391,0.0391,0.1124,0.0489,7.187908
0.0782,0.1564,0.0391,0.1711,0.2444,7.210788
0.347,0.0635,0.0782,0.0782,0.1808,7.234708
0.1271,0.1955,0.1173,0.0929,0.3079,7.259668
0.1075,0.0538,0.088,0.0831,0.088,7.284628
0.0391,0.044,0.0489,0.0391,0.0929,7.309588
0.0489,0.0391,0.044,0.0342,0.0684,7.331428
0.0342,0.0733,0.044,0.0587,0.0489,7.353268
0.0489,0.044,0.044,0.0489,0.0831,7.376148
0.0538,0.0538,0.044,0.0342,0.044,7.399028
0.0635,0.0391,0.044,0.0733,0.044,7.420868
0.0391,0.0342,0.0587,0.0831,0.0929,7.442708
0.0489,0.0391,0.0391,0.0342,0.0733,7.465588
0.176,0.0978,0.0684,0.0733,0.2102,7.487428
0.1515,0.1271,0.044,0.0196,0.044,7.512388
0.0684,0.1222,0.0196,0.0831,0.0489,7.534228
0.2493,0.1026,0.176,0.1711,0.1075,7.558152
0.176,0.1026,0.0782,0.2688,0.2933,7.583108
0.3128,0.0929,0.1173,0.1026,0.2688,7.608068
0.1515,0.0782,0.0929,0.0342,0.0489,7.633028
0.1417,0.0635,0.0538,0.1075,0.1124,7.656948
0.0635,0.0684,0.0782,0.0782,0.0489,7.681908
0.044,0.088,0.0538,0.0391,0.0538,7.706868
0.0929,0.0733,0.0489,0.0489,0.0391,7.729748
0.0635,0.0391,0.0391,0.0391,0.0684,7.753668
0.0391,0.044,0.0489,0.0538,0.0538,7.775508
0.0929,0.0929,0.0587,0.0489,0.0538,7.798388
0.0391,0.0538,0.0684,0.088,0.0733,7.823348
0.1808,0.3275,0.0831,0.0831,0.1173,7.847268
0.0978,0.0635,0.1613,0.1515,0.1515,7.872228
0.1613,0.0391,0.2297,0.1173,0.0978,7.897188
0.132,0.1173,0.0684,0.1711,0.088,7.921108
0.0978,0.1906,0.0538,0.0196,0.1906,7.946068
0.044,0.0978,0.0733,0.0782,0.1711,7.969988
0.044,0.0929,0.044,0.0684,0.0782,7.993908
0.0635,0.0538,0.0489,0.0489,0.0635,8.016788
0.0684,0.044,0.044,0.1026,0.088,8.041748
0.0538,0.0489,0.0684,0.0587,0.0587,8.064628
0.0587,0.0489,0.0391,0.0635,0.0684,8.089588
0.0733,0.0635,0.0342,0.0391,0.0587,8.113508
0.088,0.0342,0.1026,0.0684,0.0635,8.136388
0.0587,0.0391,0.0635,0.1026,0.0831,8.160308
0.0489,0.0391,0.0391,0.0538,0.0635,8.184228
0.1417,0.0929,0.0489,0.0391,0.132,8.207108
0.088,0.0342,0.1564,0.0489,0.2297,8.231028
0.2346,0.0538,0.0733,0.0538,0.0587,8.254948
0.1369,0.0782,0.1222,0.2004,0.1515,8.279908
0.1124,0.0489,0.1369,0.1026,0.0489,8.304868
0.1026,0.0489,0.0929,0.0635,0.0929,8.329828
0.1515,0.0538,0.0978,0.1124,0.0293,8.354788
0.1906,0.1173,0.1026,0.088,0.0978,8.378708
0.0978,0.0978,0.088,0.0684,0.1026,8.403668
0.0733,0.044,0.088,0.0782,0.0489,8.428628
0.0831,0.0587,0.0391,0.0733,0.0391,8.452548
0.0489,0.044,0.0587,0.0489,0.0538,8.475428
0.1026,0.0293,0.0684,0.0391,0.0635,8.499348
0.0538,0.0635,0.0684,0.0489,0.0391,8.522228
0.0831,0.044,0.0635,0.0489,0.0391,8.546148
0.0342,0.0342,0.0733,0.1026,0.0684,8.569028
0.0635,0.1075,0.1124,0.088,0.1222,8.591908
0.1711,0.044,0.1124,0.0978,0.0391,8.616868
0.0587,0.0782,0.0293,0.0978,0.2688,8.639748
0.0587,0.0293,0.1515,0.0489,0.0978,8.663668
0.0538,0.0635,0.0831,0.1515,0.1026,8.687588
0.0391,0.0831,0.0929,0.0391,0.0929,8.712548
0.0733,0.0635,0.0733,0.0684,0.0489,8.735428
0.0342,0.0635,0.0489,0.0929,0.0782,8.760388
0.1124,0.132,0.0978,0.0489,0.0489,8.784308
0.0733,0.0391,0.0489,0.0489,0.0782,8.809268
0.0538,0.0635,0.0391,0.0587,0.0635,8.833188
0.0538,0.0391,0.0684,0.0587,0.0733,8.857108
0.0782,0.0391,0.0342,0.0635,0.0587,8.881028
0.0489,0.0733,0.0391,0.0929,0.0831,8.903908
0.0391,0.0733,0.1124,0.132,0.132,8.927828
0.0733,0.2981,0.132,0.2688,0.0978,8.951748
0.176,0.0587,0.1222,0.0489,0.088,8.976708
0.1515,0.1613,0.0684,0.0733,0.0782,9.001668
0.1075,0.0782,0.0978,0.0684,0.132,9.026628
0.0538,0.0733,0.0831,0.1515,0.1124,9.051588
0.0733,0.0831,0.0684,0.1026,0.0684,9.076548
0.1124,0.0587,0.0782,0.0293,0.0489,9.101508
0.1124,0.0929,0.0391,0.088,0.1026,9.125428
0.0489,0.0587,0.044,0.0489,0.0538,9.149348
0.044,0.0733,0.0733,0.0733,0.0391,9.173268
0.0538,0.0293,0.0635,0.0391,0.0489,9.196148
0.044,0.0538,0.0489,0.044,0.044,9.219028
0.0342,0.0538,0.0831,0.0929,0.0587,9.240868
0.0587,0.0342,0.044,0.0782,0.0587,9.264788
0.1026,0.088,0.0929,0.0391,0.0929,9.287668
0.0293,0.1026,0.0733,0.0587,0.1808,9.311588
0.0391,0.3372,0.0733,0.0391,0.1662,9.335508
0.044,0.1564,0.1417,0.1857,0.1173,9.358388
0.0782,0.132,0.1222,0.1173,0.0831,9.382308
0.0978,0.0391,0.0635,0.0782,0.0635,9.407268
0.0489,0.0391,0.0782,0.0587,0.044,9.431188
0.044,0.0587,0.0489,0.0635,0.0342,9.454068
0.0538,0.0635,0.0342,0.044,0.0733,9.476948
0.044,0.044,0.0635,0.0489,0.0684,9.499828
0.0635,0.0489,0.0342,0.0733,0.0538,9.522708
0.0391,0.0342,0.0489,0.0831,0.0342,9.546628
0.0587,0.0489,0.044,0.0293,0.0538,9.568468
0.044,0.0391,0.0391,0.0929,0.0391,9.591348
0.0782,0.0684,0.044,0.0733,0.044,9.612148
0.044,0.0489,0.0635,0.0635,0.044,9.635028
0.0489,0.0489,0.1124,0.0538,0.0733,9.657908
0.1564,0.0391,0.1515,0.0733,0.3079,9.682868
0.0684,0.0391,0.0391,0.1417,0.0635,9.706788
0.0587,0.132,0.1906,0.0244,0.2884,9.729668
0.1075,0.0587,0.0733,0.1613,0.0782,9.753588
0.1369,0.1271,0.0831,0.0684,0.0684,9.778548
0.0733,0.1124,0.0635,0.0391,0.0782,9.803508
0.044,0.0538,0.0684,0.0733,0.0538,9.827428
0.0782,0.0635,0.0635,0.0587,0.0635,9.851348
0.0587,0.0587,0.0538,0.044,0.0733,9.876308
0.0391,0.0587,0.0635,0.0489,0.044,9.900228
0.0538,0.0489,0.0489,0.0733,0.0587,9.923108
0.0733,0.0391,0.0831,0.0635,0.0733,9.948068
0.088,0.0831,0.0733,0.0538,0.0587,9.971988
0.0538,0.0391,0.0684,0.0733,0.044,9.996948
0.0489,0.0489,0.0587,0.0831,0.0782,10.019828
0.0831,0.1808,0.2786,0.132,0.1222,10.045828
0.1222,0.0978,0.0587,0.2688,0.1906,10.071828
0.1369,0.088,0.1515,0.0782,0.1222,10.097828
0.0538,0.0538,0.1808,0.0391,0.1369,10.123828
0.0978,0.0831,0.0538,0.0587,0.1515,10.148788
0.0929,0.088,0.044,0.0489,0.0929,10.174788
0.0635,0.0635,0.0782,0.0635,0.0391,10.199748
0.0733,0.0391,0.0538,0.0489,0.0391,10.224708
0.0733,0.0391,0.0538,0.0538,0.0342,10.248628
0.0391,0.0342,0.0391,0.0831,0.0635,10.272548
0.044,0.044,0.0391,0.0978,0.0684,10.295428
0.0684,0.0538,0.044,0.0391,0.0635,10.318308
0.0391,0.0733,0.0489,0.044,0.0391,10.342228
0.0587,0.0391,0.1222,0.0391,0.0391,10.365108
0.0733,0.044,0.0293,0.1466,0.1124,10.387988
0.0489,0.088,0.0929,0.0587,0.1564,10.411908
0.1369,0.0587,0.1369,0.0782,0.1906,10.437908
0.1124,0.0587,0.0684,0.0587,0.132,10.463908
0.1075,0.1466,0.0782,0.1026,0.0587,10.489908
0.0391,0.0635,0.0587,0.0978,0.0978,10.515908
0.0635,0.0489,0.0489,0.0733,0.0587,10.540868
0.0587,0.0391,0.0831,0.0782,0.044,10.566868
0.0538,0.0342,0.0684,0.044,0.0733,10.590788
0.0635,0.0733,0.0538,0.0391,0.0391,10.614708
0.0635,0.0391,0.0391,0.0342,0.0782,10.638628
0.0587,0.0831,0.1124,0.0538,0.1173,10.661508
0.0391,0.0538,0.0489,0.0831,0.044,10.687508
0.0391,0.0635,0.044,0.044,0.0831,10.711428
0.0733,0.0831,0.1124,0.0587,0.0635,10.734308
0.132,0.0733,0.0196,0.0587,0.1564,10.760308
0.2053,0.1124,0.1124,0.1222,0.0635,10.785268
0.1222,0.1808,0.0635,0.1662,0.1515,10.811268
0.0929,0.0391,0.0587,0.0733,0.088,10.837268
0.0489,0.0538,0.1026,0.0929,0.1271,10.862228
0.0391,0.0684,0.0782,0.0635,0.0733,10.888228
0.0782,0.0733,0.0391,0.044,0.044,10.913188
0.0391,0.0684,0.0733,0.0538,0.0489,10.936068
0.0391,0.044,0.0391,0.0831,0.0587,10.961028
0.044,0.0978,0.0538,0.0587,0.0635,10.983908
0.0391,0.0587,0.0538,0.0684,0.0489,11.008868
0.0587,0.0733,0.0391,0.0391,0.0293,11.033828
0.0538,0.0635,0.044,0.0293,0.0391,11.056708
0.0293,0.044,0.0391,0.0391,0.044,11.079588
0.0391,0.132,0.044,0.044,0.0635,11.100388
0.0782,0.0538,0.176,0.132,0.176,11.123268
0.1711,0.1369,0.088,0.2248,0.2981,11.149268
0.2688,0.347,0.303,0.1173,0.0929,11.175268
0.1417,0.1075,0.1515,0.1124,0.0929,11.201268
0.0635,0.044,0.088,0.0635,0.1711,11.227268
0.0342,0.0538,0.0587,0.044,0.0538,11.252228
0.0733,0.0538,0.044,0.0391,0.0733,11.276148
0.0733,0.0831,0.0635,0.044,0.044,11.300068
0.0538,0.0929,0.1026,0.0342,0.0538,11.323988
0.1124,0.1222,0.0587,0.0831,0.0684,11.348948
0.1124,0.0391,0.0929,0.0489,0.0587,11.374948
0.0391,0.0391,0.0489,0.0684,0.0391,11.399908
0.0489,0.0782,0.0635,0.0342,0.0342,11.422788
0.0293,0.0635,0.0538,0.0538,0.0929,11.446708
0.0733,0.088,0.0733,0.0587,0.1075,11.471668
0.1222,0.2933,0.1173,0.303,0.1564,11.497668
0.0391,0.1026,0.0587,0.176,0.2102,11.523668
0.0733,0.2395,0.1857,0.0196,0.0782,11.548628
0.1369,0.0782,0.1417,0.1711,0.1173,11.573588
0.0782,0.044,0.1417,0.132,0.0293,11.599588
0.0635,0.0587,0.0587,0.044,0.0587,11.623508
0.0782,0.0635,0.0489,0.0391,0.1515,11.648468
0.0831,0.0342,0.044,0.0391,0.044,11.673428
0.088,0.0489,0.0489,0.0293,0.0635,11.695268
0.0831,0.0489,0.088,0.0587,0.0391,11.720228
0.0391,0.0635,0.0391,0.0733,0.0635,11.745188
0.0733,0.0489,0.044,0.0538,0.1026,11.769108
