Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2933,0.0831,0.1124,0.0684,0.0635,6.586452
0.0929,0.0684,0.0587,0.088,0.1124,6.588016
0.0538,0.0635,0.0978,0.1124,0.0929,6.589496
0.0635,0.0635,0.0587,0.0782,0.0684,6.59404
0.0489,0.0978,0.0782,0.044,0.044,6.619
0.0538,0.044,0.0587,0.0489,0.0587,6.64188
0.0489,0.0831,0.0391,0.0929,0.0684,6.6658
0.0489,0.0587,0.0831,0.0587,0.0635,6.68972
0.0587,0.0538,0.0538,0.0635,0.0635,6.71468
0.088,0.0587,0.0587,0.0489,0.044,6.73964
0.044,0.0684,0.0929,0.0831,0.044,6.76356
0.044,0.0538,0.044,0.0635,0.044,6.78644
0.0684,0.0489,0.0391,0.0684,0.0782,6.80828
0.0782,0.0782,0.0391,0.0587,0.0538,6.8322
0.0635,0.1173,0.044,0.0782,0.0489,6.85612
0.0733,0.0831,0.0635,0.0684,0.1075,6.88004
0.0635,0.0489,0.0489,0.088,0.0733,6.905
0.0538,0.0684,0.0733,0.044,0.044,6.92996
0.044,0.0391,0.0489,0.044,0.044,6.95284
0.044,0.0391,0.0538,0.044,0.044,6.97364
0.044,0.044,0.0684,0.0489,0.0489,6.99444
0.0587,0.0391,0.0489,0.044,0.0538,7.01732
0.044,0.0587,0.044,0.0391,0.0391,7.0402
0.044,0.044,0.044,0.044,0.044,7.061
0.0538,0.044,0.0391,0.0489,0.0538,7.08076
0.0587,0.044,0.0489,0.0489,0.044,7.10364
0.0489,0.0489,0.0538,0.0587,0.0489,7.12652
0.088,0.0733,0.0684,0.0391,0.0733,7.15148
0.0489,0.044,0.0489,0.0538,0.0635,7.1754
0.0684,0.0489,0.0929,0.044,0.0489,7.19932
0.0684,0.0684,0.0733,0.0538,0.0489,7.22324
0.0538,0.0538,0.088,0.088,0.0929,7.2482
0.0929,0.0489,0.0684,0.088,0.1466,7.27316
0.0538,0.0782,0.1026,0.0929,0.0831,7.29812
0.0538,0.0733,0.0635,0.0684,0.0538,7.32308
0.0489,0.088,0.0782,0.0489,0.0733,7.34804
0.044,0.0587,0.0587,0.0587,0.0587,7.373
0.0635,0.0587,0.044,0.0391,0.0391,7.39692
0.0587,0.044,0.044,0.0489,0.0489,7.41876
0.0489,0.0538,0.0489,0.044,0.044,7.44164
0.044,0.0587,0.0635,0.0538,0.0489,7.46452
0.0489,0.0489,0.0684,0.0391,0.044,7.48844
0.0782,0.0489,0.0489,0.0538,0.0635,7.51132
0.0587,0.044,0.0587,0.0587,0.0538,7.53628
0.0831,0.0684,0.0538,0.0733,0.044,7.560208
0.0635,0.0733,0.044,0.0489,0.0489,7.58412
0.0538,0.0733,0.0489,0.0538,0.0489,7.60804
0.0587,0.0587,0.0733,0.088,0.0538,7.633
0.0684,0.0733,0.1222,0.0684,0.0733,7.65796
0.0978,0.044,0.0391,0.0831,0.1026,7.68292
0.0489,0.0587,0.1711,0.0684,0.0929,7.7058
0.0831,0.0538,0.0587,0.0489,0.0684,7.73076
0.0929,0.0489,0.0489,0.0587,0.0978,7.75572
0.0489,0.0538,0.0489,0.0489,0.044,7.78068
0.0489,0.0391,0.0489,0.0587,0.0635,7.8046
0.0489,0.0538,0.044,0.0733,0.0538,7.82852
0.0538,0.0587,0.0635,0.0489,0.044,7.85244
0.0538,0.0538,0.0391,0.0782,0.0587,7.87636
