Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.259,0.0489,0.0733,0.0538,0.044,6.586452
0.0391,0.0538,0.0587,0.0489,0.0831,6.58798
0.0635,0.0831,0.0635,0.0635,0.0978,6.589404
0.0782,0.0635,0.0684,0.0538,0.0489,6.591972
0.1124,0.088,0.0635,0.0342,0.0244,6.616932
0.0831,0.0587,0.0391,0.0489,0.044,6.639812
0.0782,0.0831,0.044,0.0684,0.0587,6.662692
0.0391,0.0342,0.0587,0.1173,0.0587,6.686612
0.0293,0.0244,0.1124,0.0244,0.0293,6.709492
0.0293,0.0635,0.0489,0.088,0.0733,6.730292
0.0684,0.0391,0.0587,0.0293,0.0391,6.754212
0.0391,0.0391,0.0782,0.1515,0.0391,6.776052
0.0929,0.0635,0.0489,0.0635,0.1124,6.797892
0.0538,0.0538,0.0489,0.0733,0.0635,6.822852
0.0489,0.0342,0.0538,0.044,0.0733,6.847812
0.0391,0.0684,0.0391,0.1124,0.0635,6.870692
0.088,0.044,0.0782,0.0293,0.0635,6.89358
0.0635,0.0391,0.0929,0.132,0.0391,6.916452
0.1173,0.1026,0.0684,0.1124,0.0978,6.939332
0.1515,0.0929,0.088,0.0929,0.1808,6.964292
0.0244,0.0782,0.044,0.0635,0.0733,6.989252
0.0733,0.044,0.0782,0.088,0.0489,7.012132
0.1124,0.044,0.0587,0.088,0.0635,7.036052
0.0538,0.0831,0.1075,0.044,0.0782,7.059972
0.0391,0.088,0.0587,0.0782,0.1906,7.083892
0.0293,0.0342,0.0489,0.0538,0.132,7.107812
0.0489,0.0733,0.1515,0.1026,0.0538,7.130692
0.044,0.0391,0.0489,0.0684,0.0587,7.155652
0.044,0.0782,0.1369,0.0635,0.0538,7.178532
0.1466,0.088,0.0929,0.0782,0.0831,7.202452
0.0587,0.0635,0.0929,0.1417,0.0587,7.227412
0.1124,0.0831,0.0684,0.0293,0.0733,7.252372
0.0684,0.0929,0.0733,0.0538,0.0489,7.276292
0.0831,0.044,0.0489,0.088,0.0489,7.301252
0.0782,0.0733,0.0538,0.0929,0.044,7.325172
0.0684,0.1124,0.0831,0.1271,0.0635,7.349092
0.0391,0.0733,0.0929,0.0489,0.0538,7.374052
0.0684,0.0293,0.0489,0.0929,0.0684,7.397972
0.0635,0.0733,0.0391,0.0538,0.0489,7.421892
0.0587,0.0782,0.0489,0.0733,0.0391,7.445812
0.1515,0.0538,0.0489,0.0733,0.1026,7.469732
0.0587,0.0733,0.1075,0.0929,0.0831,7.494692
0.0293,0.0391,0.0733,0.0684,0.1075,7.519652
0.0489,0.088,0.0391,0.0538,0.0489,7.542532
0.0489,0.0342,0.0538,0.0196,0.0831,7.566452
0.044,0.0391,0.0391,0.0831,0.0587,7.589332
0.0293,0.0391,0.0978,0.1711,0.1906,7.611172
0.1711,0.0733,0.0391,0.0978,0.2786,7.634052
0.0929,0.1515,0.0489,0.088,0.1271,7.657972
0.0587,0.0929,0.0733,0.0635,0.0733,7.682932
0.0391,0.0538,0.0929,0.1173,0.132,7.707892
0.0587,0.0587,0.0733,0.0929,0.0391,7.731812
0.0733,0.1417,0.0391,0.1026,0.0538,7.755732
0.088,0.1369,0.0391,0.0587,0.0489,7.779652
0.1124,0.1026,0.132,0.0782,0.0831,7.803572
0.0929,0.0733,0.044,0.0391,0.0733,7.828532
0.1173,0.1124,0.0831,0.088,0.0929,7.851412
0.0978,0.0489,0.1222,0.1124,0.0587,7.876372
0.1906,0.0929,0.088,0.0978,0.0635,7.901332
0.0538,0.0978,0.1564,0.0733,0.1026,7.926292
0.044,0.0635,0.0635,0.044,0.1026,7.951252
0.0587,0.0489,0.0538,0.1026,0.0391,7.974132
0.0293,0.0684,0.044,0.0391,0.0733,7.998052
0.1662,0.2493,0.0782,0.0978,0.0635,8.019892
0.1026,0.0538,0.0929,0.044,0.1075,8.044852
0.1857,0.1124,0.1173,0.0538,0.0635,8.068772
0.0293,0.0293,0.0538,0.0684,0.0293,8.093732
0.0489,0.0293,0.1026,0.0684,0.0293,8.115572
0.0293,0.088,0.088,0.0391,0.0635,8.138452
0.1369,0.044,0.0538,0.0244,0.0342,8.161332
0.044,0.0587,0.0733,0.0684,0.0391,8.183172
0.1026,0.0391,0.0293,0.0196,0.0391,8.206052
0.0391,0.0489,0.044,0.0391,0.0684,8.226852
0.0391,0.0635,0.0635,0.0929,0.0635,8.248692
0.0196,0.0391,0.0587,0.0538,0.0538,8.272612
0.2346,0.2297,0.2737,0.1173,0.1271,8.295492
0.0587,0.1515,0.1222,0.0782,0.044,8.320452
0.0733,0.0782,0.1173,0.0587,0.0831,8.344372
0.0391,0.0929,0.0538,0.088,0.0733,8.369332
0.0684,0.1124,0.0489,0.1222,0.0538,8.393252
0.1075,0.1026,0.1515,0.1222,0.1222,8.418212
0.0635,0.0978,0.1075,0.0684,0.0391,8.443172
0.1026,0.1515,0.0196,0.176,0.0978,8.467092
0.1808,0.0587,0.0538,0.0782,0.0782,8.49102
0.0782,0.0538,0.0489,0.0782,0.1564,8.515972
0.0489,0.1417,0.0587,0.0489,0.1075,8.540932
0.132,0.0929,0.0782,0.088,0.0978,8.565892
0.0342,0.0635,0.0293,0.1369,0.1026,8.590852
0.0978,0.0293,0.0733,0.0831,0.0538,8.613732
0.0391,0.1124,0.1613,0.0391,0.0684,8.637652
0.0293,0.0587,0.0635,0.0635,0.0587,8.660532
0.0391,0.0929,0.0293,0.0391,0.0342,8.684452
0.0733,0.0538,0.0782,0.0929,0.0635,8.705252
0.0391,0.0391,0.0342,0.044,0.0587,8.730212
0.0635,0.176,0.0538,0.0929,0.132,8.751012
0.1075,0.0831,0.0929,0.0978,0.1271,8.775972
0.0293,0.0782,0.0538,0.0782,0.176,8.800932
0.0587,0.132,0.0929,0.0929,0.044,8.824852
0.0587,0.0635,0.0782,0.0978,0.0635,8.848772
0.0391,0.0635,0.0929,0.0391,0.0587,8.873732
0.0489,0.0489,0.0196,0.0391,0.0587,8.896612
0.0391,0.0587,0.0831,0.0489,0.0391,8.919492
0.0391,0.0782,0.1124,0.0684,0.0782,8.942372
0.0831,0.0587,0.0587,0.1515,0.0978,8.966292
0.5425,0.0782,0.1613,0.0196,0.2297,8.991252
0.0587,0.1417,0.1417,0.1515,0.0929,9.016212
0.0684,0.0196,0.0929,0.0293,0.0391,9.041172
0.0489,0.0635,0.0391,0.0831,0.088,9.063012
0.0635,0.1026,0.0489,0.0587,0.0684,9.086932
0.1026,0.0342,0.0929,0.0782,0.0391,9.111892
0.1417,0.0489,0.0489,0.0538,0.0978,9.134772
0.044,0.0391,0.132,0.0635,0.1173,9.159732
0.0733,0.0391,0.0587,0.0733,0.0635,9.182612
0.1417,0.0635,0.088,0.1466,0.0196,9.206532
0.0978,0.1711,0.0489,0.1662,0.0929,9.230452
0.1613,0.0733,0.0782,0.0489,0.0635,9.255412
0.0635,0.1026,0.0782,0.0831,0.1417,9.280372
0.0929,0.088,0.1026,0.0782,0.2199,9.305332
0.088,0.0587,0.176,0.1515,0.0293,9.330292
0.0684,0.0489,0.044,0.0293,0.0489,9.354212
0.1662,0.0733,0.0782,0.1173,0.0831,9.377092
0.1515,0.0391,0.1026,0.0489,0.0782,9.402052
0.1613,0.0978,0.0244,0.0587,0.1369,9.425972
0.0391,0.0587,0.1271,0.1711,0.0196,9.449892
0.1515,0.0391,0.0684,0.1026,0.0587,9.472772
0.0831,0.0782,0.0782,0.0684,0.1271,9.496692
0.0538,0.0782,0.0684,0.0391,0.0293,9.521652
0.1222,0.1417,0.1466,0.0587,0.0831,9.544532
0.0831,0.1173,0.0391,0.044,0.0538,9.569492
0.0293,0.0538,0.0391,0.0293,0.0342,9.592372
0.0391,0.0929,0.0342,0.0342,0.0391,9.613172
0.0293,0.0244,0.0293,0.0342,0.0293,9.633972
0.0293,0.044,0.044,0.0293,0.044,9.653732
0.0293,0.0342,0.0342,0.0489,0.0684,9.673492
0.0196,0.0342,0.0342,0.0391,0.0391,9.695332
0.0391,0.0489,0.0733,0.0831,0.0587,9.715092
0.088,0.0587,0.1173,0.2102,0.0782,9.739012
0.0978,0.1075,0.0489,0.0831,0.1515,9.763972
0.132,0.1515,0.2297,0.1026,0.0293,9.788932
0.088,0.132,0.1173,0.1515,0.0391,9.812852
0.0587,0.1662,0.088,0.0391,0.1173,9.836772
0.1711,0.0538,0.1075,0.0587,0.0782,9.860692
0.0293,0.0635,0.0489,0.0489,0.0342,9.885652
0.0489,0.0538,0.0587,0.0293,0.0587,9.908532
0.0538,0.0342,0.0587,0.0635,0.0782,9.932452
0.0489,0.0733,0.0538,0.0733,0.0684,9.956372
0.044,0.0293,0.0684,0.1564,0.0831,9.981332
0.0489,0.1075,0.1466,0.1173,0.1026,10.004212
0.1711,0.1369,0.1222,0.0489,0.0391,10.030212
0.1564,0.0782,0.2297,0.1662,0.0733,10.055172
0.1613,0.2297,0.0978,0.1515,0.1026,10.081172
0.1369,0.2004,0.1515,0.044,0.132,10.107172
0.0489,0.0978,0.0538,0.0978,0.1222,10.132132
0.0782,0.1026,0.0489,0.1515,0.2297,10.158132
0.1075,0.0733,0.0293,0.0684,0.0831,10.184132
0.0978,0.1564,0.1515,0.2297,0.0782,10.209092
0.0489,0.0733,0.0538,0.0391,0.044,10.235092
0.0733,0.0489,0.0635,0.0538,0.0196,10.259012
0.0733,0.0342,0.0489,0.0391,0.1075,10.283972
0.0684,0.0635,0.0929,0.0342,0.0391,10.307892
0.0929,0.0635,0.2297,0.1906,0.132,10.331812
0.0587,0.1369,0.0684,0.044,0.1808,10.357812
0.0831,0.1417,0.0684,0.1906,0.0635,10.382772
0.1124,0.1515,0.0538,0.0391,0.1906,10.408772
0.0782,0.0635,0.1075,0.1124,0.088,10.433732
0.0196,0.0782,0.0391,0.0929,0.0782,10.459732
0.0391,0.132,0.0587,0.0489,0.0489,10.483652
0.1857,0.0978,0.0489,0.2151,0.1906,10.508612
0.0929,0.0635,0.088,0.0489,0.0733,10.534612
0.0587,0.0635,0.0587,0.088,0.0635,10.560612
0.0635,0.1075,0.0929,0.0342,0.1075,10.586612
0.0733,0.1417,0.1711,0.1564,0.0587,10.611572
0.1173,0.2102,0.132,0.1271,0.0978,10.637572
0.0635,0.0782,0.0635,0.0635,0.0391,10.663572
0.0978,0.1417,0.1515,0.1613,0.0587,10.688532
0.2297,0.0782,0.0391,0.1369,0.0391,10.714532
0.1173,0.1711,0.0391,0.1026,0.1124,10.738452
0.0978,0.1906,0.1564,0.1271,0.0733,10.763412
0.0391,0.044,0.0293,0.0293,0.0831,10.789412
0.0684,0.1271,0.2102,0.1515,0.1222,10.811252
0.3861,0.0782,0.4252,0.132,0.0391,10.837252
0.1564,0.1466,0.0978,0.1222,0.0635,10.862212
0.0391,0.044,0.0391,0.0587,0.1026,10.888212
0.0782,0.0929,0.0489,0.0489,0.0342,10.911092
0.132,0.044,0.0978,0.0587,0.0587,10.936052
0.1271,0.0293,0.0733,0.0733,0.0684,10.961012
0.0684,0.0587,0.0196,0.0684,0.0831,10.985972
0.1075,0.1222,0.0978,0.088,0.1124,11.010932
0.1075,0.0978,0.0978,0.2297,0.0684,11.036932
0.0733,0.0489,0.0587,0.0538,0.0684,11.062932
0.044,0.0587,0.0244,0.0929,0.0831,11.088932
0.0831,0.0538,0.0733,0.0391,0.0489,11.112852
0.0391,0.0538,0.0587,0.0733,0.0342,11.137812
0.044,0.0342,0.0293,0.0391,0.0587,11.161732
0.0293,0.0293,0.0293,0.0244,0.0538,11.183572
0.0587,0.0489,0.0342,0.0244,0.0538,11.205412
0.1075,0.0587,0.0391,0.0831,0.0293,11.229332
0.0978,0.1564,0.3079,0.2102,0.0929,11.253252
0.1808,0.1173,0.0587,0.1808,0.2786,11.279252
0.1955,0.0978,0.1222,0.0831,0.0196,11.305252
0.1222,0.0978,0.1466,0.0391,0.0244,11.330212
0.0684,0.1026,0.0782,0.1808,0.0635,11.354132
0.1026,0.1222,0.132,0.0831,0.0782,11.380132
0.0635,0.0489,0.0635,0.0587,0.0391,11.406132
