Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.3128,0.176,0.1564,0.1955,0.2346,6.586452
0.2444,0.1906,0.176,0.4057,0.3861,6.588024
0.176,0.2395,0.2102,0.1906,0.0831,6.589504
0.2493,0.1906,0.1711,0.2199,0.0782,6.594052
0.0978,0.1124,0.1906,0.0587,0.0391,6.619012
0.0733,0.088,0.088,0.1222,0.0831,6.642932
0.132,0.1564,0.0538,0.0831,0.1026,6.667892
0.1173,0.1124,0.0635,0.0587,0.1075,6.692852
0.0635,0.0342,0.0782,0.1026,0.0391,6.717812
0.0489,0.0587,0.0342,0.0538,0.0587,6.740692
0.0684,0.0782,0.0782,0.0538,0.0489,6.764612
0.0538,0.0391,0.0391,0.0489,0.0489,6.789572
0.0587,0.1075,0.1124,0.0587,0.0391,6.812452
0.132,0.1026,0.1075,0.0782,0.1613,6.836372
0.1564,0.1564,0.1466,0.2151,0.1515,6.861332
0.3079,0.0538,0.1173,0.1466,0.3128,6.886292
0.2835,0.1906,0.2688,0.3666,0.2688,6.911252
0.1515,0.1613,0.1417,0.0587,0.1026,6.936212
0.0782,0.1124,0.1222,0.1662,0.1173,6.961172
0.044,0.0391,0.1075,0.0733,0.0489,6.986132
0.0293,0.0489,0.0587,0.0733,0.0635,7.009012
0.0733,0.0342,0.0489,0.0587,0.0684,7.032932
0.044,0.044,0.0391,0.044,0.0342,7.056852
0.0929,0.0684,0.088,0.0538,0.0391,7.076612
0.0538,0.0684,0.0391,0.0733,0.0538,7.100532
0.0489,0.0391,0.0684,0.0342,0.044,7.124452
0.1124,0.0733,0.0391,0.0489,0.044,7.146292
0.0391,0.044,0.0293,0.0538,0.0489,7.169172
0.044,0.0733,0.2199,0.0587,0.132,7.191012
0.132,0.1515,0.1955,0.1271,0.2297,7.214932
0.0587,0.0587,0.1564,0.2297,0.0489,7.239892
0.0782,0.2297,0.3959,0.1906,0.4839,7.264852
0.3079,0.347,0.1906,0.0782,0.2151,7.289812
0.132,0.0782,0.259,0.1515,0.2493,7.314772
0.0978,0.176,0.1271,0.044,0.1906,7.339732
0.0635,0.044,0.0635,0.0929,0.0244,7.363652
0.0489,0.0293,0.0391,0.0391,0.0635,7.386532
0.0489,0.0391,0.0489,0.0538,0.0733,7.408372
0.0782,0.044,0.0538,0.0244,0.044,7.432292
0.0538,0.0684,0.0342,0.0733,0.088,7.454132
0.0929,0.0978,0.0342,0.0587,0.044,7.478052
0.044,0.044,0.044,0.0391,0.1271,7.500932
0.0391,0.0684,0.0293,0.0489,0.0489,7.521732
0.0733,0.0635,0.0635,0.044,0.0293,7.544612
0.1955,0.1173,0.0978,0.0635,0.088,7.567492
0.0684,0.1075,0.0978,0.0391,0.1515,7.592452
0.2102,0.132,0.1613,0.2737,0.132,7.616372
0.1075,0.2004,0.1124,0.0587,0.1564,7.641332
0.1026,0.1369,0.2884,0.1515,0.1075,7.666292
0.3128,0.1564,0.3666,0.3372,0.0635,7.691252
0.1808,0.0684,0.1124,0.1515,0.088,7.716212
