Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.523,0.3226,0.3079,0.2395,0.2053,6.586452
0.1613,0.1711,0.176,0.0782,0.2004,6.588064
0.088,0.0782,0.2346,0.2493,0.176,6.589544
0.2297,0.0391,0.0684,0.0635,0.0196,6.595132
0.0635,0.0684,0.1222,0.0733,0.0391,6.618012
0.0391,0.0684,0.0733,0.0538,0.0244,6.641932
0.0538,0.0538,0.0782,0.1515,0.0489,6.664812
0.0733,0.1075,0.1417,0.1124,0.0342,6.689772
0.0782,0.0587,0.044,0.0293,0.0489,6.713692
0.0391,0.0782,0.0538,0.044,0.0733,6.736572
0.0733,0.0391,0.0342,0.044,0.0391,6.759452
0.0342,0.0342,0.0391,0.0538,0.0489,6.780252
0.0538,0.044,0.0733,0.0538,0.1026,6.802092
0.0538,0.0489,0.0733,0.1124,0.1515,6.826012
0.1222,0.2102,0.0587,0.1271,0.1417,6.850972
0.1857,0.1906,0.3079,0.2688,0.1124,6.875932
0.1369,0.0782,0.2102,0.1564,0.259,6.900892
0.1222,0.1564,0.0978,0.1808,0.1369,6.925852
0.0831,0.1417,0.1026,0.2297,0.1515,6.950812
0.1515,0.1124,0.0342,0.0391,0.0782,6.975772
0.0391,0.0684,0.0684,0.0391,0.0831,6.998652
0.0342,0.044,0.0391,0.044,0.044,7.021532
0.0342,0.0391,0.0391,0.0538,0.044,7.041292
0.044,0.044,0.0293,0.044,0.0538,7.062092
0.0342,0.0538,0.0391,0.0342,0.0391,7.082892
0.0342,0.0489,0.0733,0.0538,0.0635,7.103692
0.0293,0.0635,0.0391,0.0538,0.0733,7.127612
0.044,0.0489,0.0342,0.0489,0.0489,7.150492
0.0342,0.0391,0.0391,0.0489,0.0538,7.173372
0.1222,0.1271,0.1955,0.1662,0.0,7.195212
0.0196,0.1124,0.1075,0.2981,0.0391,7.219132
0.1906,0.1906,0.1564,0.0489,0.1173,7.242012
0.1124,0.0587,0.1613,0.2688,0.1026,7.266972
0.2151,0.1417,0.1026,0.1369,0.1515,7.291932
0.1906,0.1808,0.2297,0.1417,0.132,7.316892
0.2493,0.1515,0.0978,0.088,0.0782,7.341852
0.0293,0.0684,0.0293,0.0293,0.0489,7.366812
0.0635,0.0391,0.0489,0.0293,0.0391,7.388652
