Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2981,0.0489,0.0293,0.0635,0.0635,6.586452
0.0489,0.0391,0.0587,0.0489,0.044,6.587976
0.0733,0.0489,0.0733,0.088,0.044,6.589348
0.0635,0.0391,0.0538,0.0587,0.0684,6.59078
0.0733,0.1075,0.1075,0.1466,0.0635,6.613812
0.1124,0.0391,0.088,0.0391,0.0587,6.638772
0.0391,0.0293,0.0684,0.0733,0.0831,6.661652
0.0782,0.044,0.0244,0.0587,0.0929,6.684532
0.0782,0.0538,0.088,0.0733,0.0587,6.707412
0.0635,0.0635,0.0391,0.0684,0.0244,6.732372
0.044,0.0929,0.044,0.044,0.0635,6.755252
0.0782,0.1417,0.2199,0.1515,0.1417,6.777092
0.044,0.0293,0.0196,0.0587,0.1173,6.802052
0.0538,0.044,0.044,0.0489,0.044,6.823892
0.0733,0.0733,0.0244,0.0684,0.0391,6.845732
0.0538,0.0293,0.0391,0.1124,0.1417,6.868612
0.0391,0.0489,0.0587,0.1417,0.0635,6.891492
0.1075,0.0733,0.0293,0.0782,0.0244,6.915412
0.176,0.0196,0.0831,0.0782,0.1808,6.938292
0.0782,0.0391,0.0684,0.0782,0.0587,6.962212
0.1906,0.0489,0.0538,0.044,0.0538,6.986132
0.0831,0.0489,0.044,0.0587,0.0733,7.010052
0.0733,0.0538,0.0733,0.1026,0.0782,7.033972
0.0342,0.0635,0.0293,0.1417,0.044,7.058932
0.0733,0.0538,0.1271,0.1369,0.0489,7.080772
0.1515,0.1026,0.0196,0.0489,0.0342,7.105732
0.044,0.1906,0.0391,0.0782,0.0391,7.128612
0.0635,0.088,0.0538,0.0342,0.0635,7.150452
0.0635,0.0293,0.0587,0.044,0.0831,7.174372
0.0342,0.0391,0.1075,0.1026,0.0489,7.197252
0.0733,0.0391,0.0391,0.0929,0.1808,7.220132
0.1906,0.2297,0.1173,0.0929,0.088,7.243012
0.0538,0.044,0.1417,0.0391,0.088,7.267972
0.1222,0.0733,0.0342,0.0391,0.044,7.290852
0.0391,0.0538,0.0684,0.0831,0.0293,7.312692
0.0391,0.132,0.0733,0.0684,0.0733,7.335572
0.1271,0.0733,0.0391,0.0391,0.0538,7.3595
0.044,0.0489,0.0293,0.0635,0.044,7.382372
0.0391,0.0391,0.0587,0.0489,0.0489,7.404212
0.0489,0.0293,0.044,0.0684,0.0635,7.427092
0.044,0.044,0.088,0.0587,0.1222,7.449972
0.0684,0.0587,0.044,0.0391,0.0391,7.472852
0.0489,0.0489,0.0587,0.0196,0.0342,7.494692
