Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2933,0.0831,0.1075,0.0929,0.0489,6.586452
0.0489,0.0635,0.0831,0.0733,0.044,6.588016
0.0978,0.0733,0.044,0.0684,0.088,6.589452
0.0635,0.0489,0.0635,0.0733,0.0489,6.59196
0.0587,0.0782,0.0489,0.0489,0.0489,6.61692
0.0538,0.0538,0.0635,0.044,0.0684,6.64188
0.088,0.0489,0.0733,0.0782,0.0391,6.6658
0.0587,0.0782,0.0538,0.0489,0.0587,6.68972
0.0489,0.0391,0.0489,0.0635,0.0733,6.71468
0.0733,0.0538,0.0733,0.0538,0.0684,6.7386
0.0587,0.0391,0.0684,0.0587,0.0635,6.76356
0.0538,0.0587,0.0538,0.0489,0.0587,6.78748
0.0684,0.0831,0.0489,0.044,0.0635,6.81244
0.0684,0.0684,0.0635,0.0635,0.0684,6.83636
0.0831,0.0538,0.088,0.0538,0.0929,6.86132
0.0538,0.1075,0.1417,0.0684,0.0831,6.88628
0.0831,0.0733,0.088,0.0489,0.0538,6.91124
0.0489,0.0391,0.044,0.0489,0.0538,6.9362
0.044,0.0684,0.0587,0.0538,0.0489,6.95908
0.044,0.0391,0.0538,0.0489,0.0391,6.983
0.0587,0.044,0.0391,0.044,0.0489,7.00484
0.0587,0.0587,0.044,0.044,0.0489,7.02668
0.044,0.0538,0.0587,0.0489,0.0538,7.04956
0.0538,0.0587,0.0587,0.0391,0.0489,7.07348
0.0635,0.0489,0.044,0.0635,0.0538,7.0974
0.044,0.0391,0.0391,0.0391,0.0538,7.12132
0.0587,0.0489,0.0489,0.0489,0.0635,7.14212
0.0538,0.044,0.0489,0.044,0.0391,7.16708
0.0733,0.0782,0.044,0.1222,0.1271,7.18892
0.0538,0.0489,0.0391,0.0635,0.0587,7.21284
0.088,0.0587,0.0587,0.088,0.0635,7.23676
0.0391,0.0978,0.0831,0.0831,0.0538,7.26172
0.0733,0.0391,0.0635,0.0538,0.1075,7.28564
0.1124,0.088,0.0489,0.0684,0.0538,7.30956
0.0831,0.0587,0.0489,0.0684,0.0587,7.33452
0.0538,0.0635,0.0538,0.0587,0.0587,7.35948
0.0538,0.0489,0.044,0.0538,0.0489,7.38444
0.0489,0.0538,0.0489,0.0391,0.0635,7.40836
0.0538,0.044,0.0538,0.0489,0.0391,7.43228
0.044,0.0538,0.0489,0.0587,0.044,7.45516
0.0684,0.0538,0.0635,0.044,0.0587,7.47804
0.0489,0.044,0.0391,0.0538,0.0635,7.50196
0.0538,0.0587,0.0489,0.0489,0.0538,7.52484
0.0587,0.0489,0.0489,0.0733,0.0733,7.5498
0.0635,0.0587,0.0538,0.0684,0.044,7.57476
0.0635,0.0587,0.0489,0.0684,0.0391,7.59868
0.1026,0.0489,0.0733,0.0635,0.044,7.6226
0.0587,0.0684,0.0733,0.0684,0.1026,7.64652
0.088,0.0587,0.0782,0.132,0.0733,7.67148
0.0831,0.0684,0.044,0.0978,0.0635,7.69644
0.0635,0.0489,0.0587,0.0587,0.0538,7.72036
0.0733,0.0489,0.0391,0.1124,0.0538,7.74532
0.0587,0.044,0.0489,0.0391,0.0587,7.76924
0.0538,0.044,0.0489,0.0489,0.0489,7.79212
