Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2835,0.132,0.132,0.088,0.088,6.586444
0.0831,0.088,0.0489,0.0538,0.088,6.588016
0.0684,0.0587,0.0489,0.0391,0.0391,6.589496
0.0391,0.088,0.0929,0.0929,0.0782,6.59196
0.1711,0.1222,0.0978,0.0782,0.0391,6.61588
0.0635,0.0391,0.0587,0.044,0.044,6.6398
0.0635,0.0587,0.0489,0.0538,0.0587,6.66164
0.0489,0.0391,0.0733,0.044,0.0635,6.6866
0.0684,0.0684,0.0635,0.044,0.044,6.70948
0.0733,0.0587,0.1271,0.0587,0.0538,6.73236
0.0538,0.0538,0.0391,0.0587,0.0489,6.75732
0.1173,0.2102,0.088,0.0587,0.0684,6.78124
0.0489,0.0587,0.0978,0.0587,0.0684,6.8062
0.0587,0.0929,0.0831,0.0782,0.0635,6.83116
0.0635,0.0489,0.0391,0.0538,0.0489,6.85612
0.0929,0.0929,0.0978,0.0978,0.1222,6.88004
0.0391,0.1173,0.0587,0.0587,0.1173,6.905
0.1124,0.1271,0.1075,0.0978,0.0929,6.92892
0.1613,0.1369,0.0684,0.0733,0.1271,6.95388
0.1515,0.1271,0.132,0.0635,0.044,6.97884
0.0831,0.0733,0.0635,0.0733,0.0489,7.00276
0.0635,0.0489,0.0587,0.0538,0.0635,7.027728
0.1173,0.1026,0.0587,0.0831,0.0635,7.05268
0.0635,0.0587,0.0733,0.0782,0.0831,7.07764
0.0538,0.0684,0.0489,0.0684,0.0782,7.1026
0.0831,0.0391,0.0489,0.0635,0.0733,7.12756
0.0733,0.088,0.0538,0.0782,0.088,7.15148
0.0587,0.0978,0.0978,0.1662,0.1075,7.17644
0.1124,0.088,0.1173,0.0782,0.0782,7.2014
0.132,0.0635,0.0635,0.0929,0.1222,7.22636
0.2004,0.1124,0.0929,0.0782,0.0391,7.25132
0.1808,0.0929,0.0929,0.0782,0.0733,7.27524
0.0782,0.1173,0.0782,0.0684,0.1173,7.3002
0.0978,0.088,0.1026,0.0587,0.0782,7.32516
0.0391,0.0391,0.088,0.0733,0.0782,7.35012
0.0489,0.088,0.088,0.1075,0.132,7.373
0.0831,0.044,0.0489,0.044,0.0587,7.39796
0.044,0.0587,0.0538,0.0635,0.0489,7.42084
0.0489,0.0538,0.0635,0.0489,0.044,7.44476
0.3372,0.1417,0.0538,0.0391,0.0587,7.46868
0.044,0.0489,0.0587,0.0587,0.044,7.4926
0.0635,0.1124,0.0733,0.0929,0.0391,7.51548
0.0587,0.1466,0.0831,0.0635,0.0782,7.5394
0.0587,0.0489,0.1124,0.0929,0.1808,7.56436
0.1124,0.1124,0.0391,0.0831,0.0489,7.58932
0.0391,0.088,0.1369,0.0391,0.1466,7.61324
0.1417,0.0489,0.088,0.0489,0.2102,7.63612
0.0489,0.1515,0.0538,0.1271,0.0635,7.66108
0.1222,0.1026,0.0587,0.0929,0.0733,7.68604
0.0733,0.0733,0.0635,0.1369,0.1417,7.711
0.044,0.088,0.0929,0.0587,0.0782,7.73596
0.0929,0.0684,0.0587,0.0684,0.0684,7.759888
0.1075,0.1124,0.1075,0.0978,0.1075,7.78484
0.1417,0.1173,0.088,0.0684,0.1173,7.8098
0.1222,0.0684,0.1222,0.0587,0.0782,7.83476
0.1711,0.0782,0.0587,0.0489,0.1808,7.85972
0.0978,0.0831,0.0587,0.1857,0.1906,7.88468
0.1124,0.0587,0.1075,0.0587,0.1173,7.90964
0.1564,0.1271,0.1417,0.1857,0.1466,7.9346
0.1026,0.0831,0.1515,0.1271,0.0831,7.959568
0.0978,0.1026,0.0538,0.1026,0.1026,7.98452
0.1026,0.1417,0.0489,0.0929,0.1222,8.00948
0.0489,0.0538,0.0391,0.0782,0.0684,8.03444
0.0635,0.0684,0.044,0.044,0.044,8.05836
0.0733,0.1124,0.0587,0.0978,0.1075,8.0802
0.0635,0.0782,0.0733,0.0489,0.0733,8.10516
0.0587,0.0782,0.0684,0.044,0.0391,8.13012
0.044,0.0489,0.0684,0.1026,0.1222,8.153
0.0635,0.0587,0.0782,0.0587,0.0489,8.17692
0.1124,0.0587,0.1369,0.1222,0.0684,8.20188
0.0635,0.1173,0.1075,0.1075,0.0929,8.22684
0.0587,0.1026,0.0733,0.0587,0.0587,8.2518
0.132,0.0391,0.132,0.0538,0.1515,8.27676
0.1808,0.0391,0.1271,0.1271,0.0978,8.30068
0.1075,0.0635,0.088,0.0587,0.1711,8.3246
0.044,0.0978,0.0831,0.088,0.0684,8.34956
0.0831,0.132,0.1026,0.0587,0.0684,8.37348
0.1124,0.044,0.088,0.0978,0.0587,8.39844
0.1075,0.0831,0.0978,0.0635,0.0489,8.42236
0.0587,0.0391,0.0391,0.0489,0.0635,8.44732
0.0635,0.0391,0.0489,0.0587,0.0587,8.4702
0.0782,0.0684,0.0391,0.0684,0.0538,8.49412
0.0635,0.0733,0.0684,0.0635,0.088,8.51804
0.1026,0.1026,0.0587,0.0587,0.0587,8.543
0.1417,0.0489,0.0587,0.0684,0.1124,8.56796
0.0391,0.0782,0.1515,0.1808,0.0929,8.59292
0.1124,0.0538,0.1124,0.1271,0.0684,8.61684
0.1515,0.0978,0.1906,0.0635,0.0684,8.6418
0.0733,0.088,0.0635,0.0489,0.1271,8.66676
0.0587,0.044,0.044,0.0635,0.0733,8.691728
0.0538,0.1026,0.1075,0.1515,0.132,8.7146
0.0489,0.0538,0.0635,0.0684,0.0489,8.73956
0.1026,0.0782,0.0733,0.0782,0.1271,8.76452
0.0684,0.0782,0.044,0.0929,0.0587,8.78948
0.0635,0.2981,0.1173,0.0929,0.0587,8.8134
0.1026,0.0587,0.0831,0.1124,0.0733,8.83836
0.1124,0.0782,0.0782,0.1075,0.1369,8.86332
0.1026,0.044,0.0635,0.0587,0.0684,8.88828
0.0733,0.0489,0.0489,0.0635,0.132,8.9122
0.0733,0.0538,0.0782,0.2297,0.0782,8.93716
0.0489,0.1417,0.0733,0.1124,0.0831,8.96212
0.1026,0.088,0.1564,0.2493,0.0831,8.98708
0.1955,0.1906,0.1222,0.088,0.1173,9.01204
0.0782,0.0782,0.0782,0.1075,0.0782,9.037
0.088,0.0684,0.0782,0.0684,0.0538,9.06196
0.0831,0.1173,0.1075,0.0538,0.0391,9.08692
0.1124,0.044,0.0489,0.044,0.0587,9.11084
0.0587,0.0538,0.044,0.044,0.0489,9.13372
0.0538,0.0489,0.0538,0.0587,0.1124,9.1566
0.1026,0.0831,0.088,0.0587,0.1124,9.18156
0.1075,0.1075,0.1711,0.1222,0.1466,9.20652
0.0978,0.1564,0.1662,0.132,0.1369,9.23148
0.1173,0.044,0.1222,0.0587,0.0978,9.25644
0.1075,0.1906,0.1369,0.132,0.088,9.28036
0.0831,0.1222,0.1124,0.0635,0.0831,9.30532
