Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.259,0.0831,0.0635,0.0391,0.0049,6.586452
0.0587,0.0635,0.044,0.0098,0.0196,6.58794
0.0635,0.0293,0.0196,0.0342,0.044,6.589268
0.0342,0.044,0.0342,0.0098,0.044,6.590556
0.0244,0.0196,0.0196,0.0244,0.0635,6.604452
0.0196,0.0244,0.0196,0.0342,0.0196,6.625252
0.0147,0.0196,0.0244,0.0293,0.0293,6.645012
0.0244,0.0196,0.0391,0.0098,0.0635,6.664772
0.044,0.0196,0.0244,0.0244,0.044,6.685572
0.0147,0.0147,0.044,0.0342,0.0342,6.705332
0.0196,0.0196,0.0538,0.0244,0.0244,6.725092
0.0244,0.0244,0.0196,0.0293,0.0293,6.745892
0.0293,0.0538,0.0342,0.0244,0.0196,6.765652
0.0342,0.0196,0.0196,0.0293,0.0147,6.786452
0.0342,0.0196,0.0244,0.0244,0.0342,6.806212
0.044,0.0196,0.0244,0.0293,0.044,6.825972
0.0684,0.0489,0.0342,0.0244,0.0098,6.845732
0.0244,0.0391,0.0196,0.0196,0.0538,6.867572
0.0196,0.0733,0.0733,0.0342,0.0196,6.888372
0.0244,0.0147,0.0391,0.044,0.0244,6.910212
0.0196,0.0342,0.0196,0.0391,0.0196,6.929972
0.0196,0.0244,0.0196,0.0196,0.0196,6.949732
0.0293,0.0244,0.0196,0.0147,0.0293,6.969492
0.0342,0.0293,0.0196,0.0244,0.0342,6.989252
0.0293,0.0098,0.0293,0.0196,0.0244,7.009012
0.0342,0.0244,0.0293,0.0147,0.0244,7.028772
0.0147,0.0244,0.0196,0.0244,0.0196,7.048532
0.0147,0.0244,0.0293,0.0196,0.0342,7.068292
0.0196,0.0244,0.0293,0.0244,0.0147,7.088052
0.0293,0.0244,0.0244,0.0147,0.0196,7.107812
0.0244,0.0196,0.0147,0.0196,0.0196,7.127572
0.0244,0.0293,0.0147,0.0196,0.0196,7.147332
0.0196,0.0244,0.0196,0.0244,0.0244,7.167092
0.0293,0.0147,0.0244,0.0293,0.0587,7.186852
0.0196,0.0196,0.0196,0.0293,0.0244,7.207652
0.0196,0.044,0.0244,0.0342,0.0196,7.227412
0.0489,0.0293,0.0587,0.0196,0.0342,7.247172
0.0342,0.0342,0.0391,0.0196,0.044,7.269012
0.0635,0.0635,0.0635,0.0244,0.0391,7.288772
0.0196,0.0196,0.0293,0.0196,0.0342,7.311652
0.0342,0.0293,0.0244,0.0391,0.0293,7.331412
0.0489,0.0196,0.0196,0.0196,0.0293,7.351172
0.0196,0.0244,0.0196,0.0196,0.0244,7.371972
0.0244,0.0147,0.0342,0.0342,0.0196,7.391732
0.0244,0.0244,0.0196,0.0244,0.0244,7.411492
0.0342,0.0244,0.0196,0.0244,0.0098,7.431252
0.0342,0.0196,0.0293,0.0293,0.0196,7.451012
0.0342,0.0342,0.0293,0.0293,0.0293,7.470772
0.0244,0.0244,0.0244,0.0196,0.0244,7.490532
0.0098,0.0293,0.0244,0.0196,0.0196,7.510292
0.0244,0.0147,0.0293,0.0244,0.0147,7.530052
0.0293,0.0196,0.0293,0.0196,0.0244,7.549812
0.0293,0.0293,0.0342,0.0244,0.0293,7.569572
0.0196,0.0244,0.0244,0.0293,0.0244,7.589332
0.0196,0.0196,0.0342,0.0196,0.0538,7.609092
0.0196,0.0342,0.0391,0.0196,0.0293,7.629892
0.0293,0.0196,0.0391,0.0244,0.044,7.649652
0.0196,0.0489,0.0098,0.0147,0.0831,7.669412
0.0635,0.0635,0.0538,0.0196,0.0293,7.691252
0.0098,0.0244,0.0733,0.0098,0.0635,7.714132
0.0244,0.0244,0.0196,0.0342,0.0538,7.735972
0.0635,0.0342,0.0293,0.0147,0.0538,7.756772
0.0342,0.0147,0.0244,0.0196,0.0293,7.778612
0.0196,0.0244,0.0147,0.0342,0.0342,7.798372
0.0196,0.0342,0.0342,0.0147,0.0196,7.818132
0.0244,0.0293,0.0244,0.0244,0.0244,7.837892
0.0244,0.0196,0.0196,0.0196,0.0293,7.857652
0.0293,0.0196,0.0098,0.0342,0.0293,7.877412
0.0293,0.0342,0.0538,0.0196,0.0196,7.897172
0.0293,0.0196,0.0147,0.0196,0.0293,7.917972
0.0244,0.0342,0.0196,0.0147,0.0342,7.937732
0.0244,0.0244,0.0244,0.0342,0.0196,7.957492
0.0196,0.0244,0.0391,0.0147,0.0196,7.977252
0.0635,0.0342,0.0391,0.0391,0.044,7.997012
0.0244,0.0293,0.0244,0.0244,0.0196,8.017812
0.044,0.0244,0.0342,0.0196,0.0147,8.037572
0.0293,0.0244,0.0196,0.0196,0.0147,8.057332
0.0244,0.0342,0.0293,0.0196,0.0196,8.077092
0.0244,0.0635,0.0929,0.0538,0.0733,8.096852
0.0196,0.044,0.044,0.0196,0.044,8.120772
0.0538,0.0538,0.0391,0.044,0.0342,8.140532
0.0196,0.0293,0.0342,0.0196,0.0196,8.162372
0.0244,0.0733,0.0391,0.0342,0.0342,8.182132
0.0147,0.0196,0.0244,0.0196,0.0244,8.202932
0.0196,0.0196,0.0196,0.0293,0.0196,8.222692
0.0196,0.0244,0.0342,0.0196,0.0244,8.242452
0.0196,0.0244,0.0244,0.0147,0.0196,8.262212
0.0244,0.0196,0.0293,0.0147,0.0293,8.281972
0.0147,0.0196,0.0293,0.0342,0.0196,8.301732
0.0244,0.0244,0.0293,0.0196,0.0293,8.321492
0.0147,0.0147,0.0244,0.0196,0.0293,8.341252
0.0196,0.0244,0.0293,0.0244,0.0293,8.361012
0.0342,0.0244,0.0244,0.0244,0.0293,8.380772
0.0489,0.0342,0.0196,0.0342,0.0244,8.400532
0.0244,0.0196,0.0244,0.0196,0.0196,8.421332
0.0342,0.0244,0.0196,0.0147,0.0342,8.441092
0.0342,0.0196,0.0244,0.0293,0.0196,8.460852
0.044,0.0342,0.0293,0.0342,0.0196,8.480612
0.0244,0.0538,0.0635,0.0196,0.0538,8.500372
0.0244,0.0538,0.0342,0.0196,0.0293,8.523252
0.0293,0.0733,0.044,0.0342,0.0293,8.544052
0.0489,0.0244,0.044,0.0342,0.0391,8.564852
0.0293,0.0538,0.0391,0.0733,0.0293,8.585652
0.0196,0.0147,0.0196,0.0196,0.0196,8.607492
0.0342,0.0293,0.0196,0.0196,0.0293,8.627252
0.044,0.0196,0.0293,0.0244,0.0342,8.647012
0.0538,0.044,0.0342,0.0342,0.0293,8.666772
0.0293,0.0147,0.0342,0.0244,0.0244,8.687572
0.0391,0.0196,0.0147,0.0196,0.0244,8.707332
0.0244,0.0147,0.0196,0.0244,0.0147,8.727092
0.0342,0.0244,0.0196,0.0244,0.0098,8.746852
0.0196,0.0196,0.0147,0.0244,0.0196,8.766612
0.0244,0.0196,0.0196,0.0342,0.0196,8.786372
0.0293,0.0342,0.0635,0.0342,0.0587,8.806132
0.0196,0.0196,0.0244,0.0196,0.0147,8.827972
0.0196,0.0196,0.0196,0.0147,0.0244,8.847732
0.0244,0.0196,0.0342,0.0196,0.0342,8.867492
0.0196,0.0342,0.0293,0.0489,0.0293,8.887252
0.0342,0.0196,0.0196,0.0098,0.0293,8.908052
0.0391,0.044,0.0196,0.0684,0.0196,8.927812
0.088,0.0196,0.0391,0.0733,0.0489,8.948612
0.0489,0.0147,0.0147,0.044,0.0196,8.971492
0.0098,0.0538,0.0538,0.0684,0.0489,8.992292
0.0196,0.0342,0.0342,0.0244,0.0244,9.016212
0.0293,0.0293,0.0147,0.0147,0.0196,9.035972
0.0196,0.0342,0.0293,0.0244,0.0293,9.055732
0.0196,0.0391,0.0196,0.0196,0.0196,9.075492
0.0147,0.0244,0.0244,0.0244,0.0244,9.095252
0.0244,0.0098,0.0244,0.0196,0.0196,9.115012
0.0196,0.0147,0.0342,0.0147,0.0196,9.134772
0.0196,0.0293,0.0244,0.0196,0.0196,9.154532
0.0293,0.0293,0.0196,0.0244,0.0196,9.174292
0.0293,0.0196,0.0196,0.0293,0.0244,9.194052
0.0342,0.0244,0.0196,0.0196,0.0244,9.213812
0.0391,0.0538,0.0391,0.0293,0.0342,9.233572
0.0196,0.0196,0.0244,0.0244,0.0196,9.254372
0.0293,0.0293,0.0489,0.0342,0.0196,9.274132
0.0293,0.0489,0.0489,0.0391,0.0196,9.294932
0.0342,0.0196,0.0147,0.0196,0.0635,9.316772
0.0489,0.0244,0.0147,0.0293,0.0196,9.337572
0.0684,0.0293,0.0196,0.0244,0.0342,9.358372
0.0293,0.0538,0.0342,0.0538,0.0391,9.379172
0.044,0.0244,0.0,0.044,0.0538,9.401012
0.0196,0.0293,0.0196,0.0147,0.0538,9.421812
0.0196,0.0391,0.0244,0.0196,0.0196,9.442612
0.0293,0.0196,0.0244,0.0147,0.0147,9.462372
0.0196,0.0196,0.0147,0.0196,0.0293,9.482132
0.0196,0.0244,0.0391,0.0342,0.0196,9.501892
0.0196,0.0196,0.0244,0.0293,0.0244,9.521652
0.0342,0.0293,0.0196,0.0342,0.0196,9.541412
0.0196,0.0196,0.0342,0.0293,0.0293,9.561172
0.0342,0.0196,0.0293,0.0196,0.0196,9.580932
0.0196,0.0147,0.0538,0.0244,0.0342,9.600692
0.0147,0.0293,0.0293,0.0342,0.0196,9.621492
0.0,0.0635,0.0342,0.0196,0.0391,9.641252
0.0244,0.0244,0.0147,0.0244,0.0293,9.662052
0.0342,0.0244,0.0244,0.0196,0.0196,9.681812
0.0342,0.0293,0.0244,0.0342,0.0196,9.701572
0.0342,0.0489,0.0196,0.0244,0.0196,9.721332
0.0293,0.0098,0.0196,0.0391,0.0098,9.742132
0.0196,0.0538,0.0293,0.0293,0.0147,9.761892
0.0293,0.0391,0.0391,0.0391,0.0391,9.782692
0.0293,0.0244,0.0342,0.0342,0.0293,9.802452
0.0391,0.0196,0.0196,0.0342,0.0538,9.82222
0.0342,0.0293,0.0196,0.044,0.0196,9.843012
