Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2835,0.0587,0.0635,0.0342,0.0538,6.586452
0.0733,0.0587,0.0489,0.0635,0.0929,6.587984
0.0929,0.0929,0.0342,0.0587,0.0733,6.589464
0.0831,0.0635,0.0782,0.0587,0.0538,6.591972
0.132,0.1271,0.0587,0.1271,0.0929,6.616932
0.0293,0.0391,0.0342,0.0391,0.0831,6.641892
0.0733,0.0538,0.0733,0.0391,0.0489,6.662692
0.0587,0.044,0.0538,0.0635,0.0538,6.686612
0.0538,0.044,0.0391,0.0391,0.0489,6.710532
0.0489,0.0635,0.0635,0.044,0.0391,6.732372
0.0538,0.0342,0.0538,0.0489,0.0489,6.755252
0.0978,0.1906,0.0587,0.0489,0.0635,6.779172
0.044,0.088,0.0489,0.0342,0.0489,6.804132
0.0293,0.0489,0.0831,0.0733,0.0489,6.82702
0.0538,0.0391,0.0538,0.0635,0.0538,6.850932
0.1026,0.0733,0.0733,0.0587,0.0978,6.874852
0.0587,0.0391,0.1124,0.0538,0.0684,6.899812
0.0391,0.1075,0.0391,0.1124,0.0831,6.923732
0.1075,0.0831,0.0538,0.1026,0.0391,6.946612
0.0293,0.0733,0.1124,0.1222,0.0489,6.970532
0.0391,0.044,0.0391,0.0538,0.0391,6.994452
0.0342,0.044,0.0391,0.0342,0.0489,7.015252
0.044,0.0391,0.044,0.0293,0.0782,7.036052
0.0489,0.0635,0.0489,0.044,0.0538,7.056852
0.044,0.044,0.0391,0.0391,0.0733,7.080772
0.0684,0.0391,0.0244,0.0782,0.0929,7.101572
0.0391,0.0782,0.0831,0.0538,0.0538,7.124452
0.0635,0.0733,0.0684,0.0391,0.0391,7.148372
0.1026,0.044,0.0929,0.044,0.1564,7.171252
0.1271,0.0538,0.1271,0.0587,0.132,7.194132
0.0391,0.0587,0.1124,0.0391,0.0391,7.219092
0.1466,0.0391,0.1271,0.1515,0.0929,7.240932
0.1075,0.0538,0.0733,0.0293,0.088,7.264852
0.0391,0.0782,0.0587,0.0831,0.0831,7.288772
0.0635,0.0587,0.0635,0.0635,0.1026,7.312692
0.0635,0.0538,0.0635,0.0587,0.1075,7.337652
0.0831,0.0733,0.0635,0.0635,0.0293,7.362612
0.1124,0.0635,0.0538,0.044,0.0684,7.386532
0.0587,0.0733,0.044,0.0391,0.0293,7.410452
0.0538,0.0293,0.0635,0.0342,0.0391,7.432292
0.0538,0.0342,0.0391,0.1906,0.1026,7.454132
0.0391,0.0489,0.088,0.1075,0.0684,7.477012
0.0391,0.0733,0.0391,0.0733,0.0489,7.500932
0.0635,0.0293,0.044,0.0587,0.0782,7.523812
0.0587,0.088,0.0684,0.0635,0.0489,7.546692
0.0684,0.0391,0.1124,0.0782,0.088,7.571652
0.0831,0.0733,0.0635,0.088,0.0635,7.595572
0.0587,0.088,0.0391,0.0489,0.0587,7.620532
0.0391,0.1173,0.1124,0.1417,0.1124,7.644452
0.1124,0.0782,0.0635,0.0391,0.0587,7.668372
0.0391,0.0489,0.0782,0.0489,0.0489,7.6923
0.1124,0.0929,0.0244,0.0391,0.0587,7.716212
0.0684,0.0684,0.0489,0.0733,0.0733,7.739092
0.0635,0.0489,0.0489,0.0489,0.0587,7.764052
0.0635,0.0978,0.0391,0.0733,0.0831,7.789012
0.0782,0.0635,0.0733,0.132,0.0538,7.812932
0.0733,0.0684,0.0635,0.1369,0.2151,7.837892
0.0733,0.0831,0.2199,0.1124,0.1271,7.862852
0.0391,0.1173,0.1906,0.0342,0.0489,7.887812
0.1222,0.0684,0.044,0.0929,0.1026,7.910692
0.0293,0.0391,0.0978,0.1515,0.0293,7.934612
0.0635,0.0782,0.1124,0.0244,0.1124,7.956452
0.0684,0.0733,0.0391,0.0391,0.0391,7.980372
0.0391,0.044,0.0293,0.0684,0.0978,8.002212
0.1124,0.088,0.0391,0.0342,0.088,8.024052
0.0782,0.0538,0.0391,0.0489,0.0635,8.046932
0.0489,0.0538,0.0293,0.0293,0.0831,8.070852
0.0587,0.0293,0.0733,0.0635,0.0489,8.093732
0.0929,0.0538,0.0587,0.0587,0.0587,8.117652
0.0684,0.0782,0.0831,0.0684,0.0733,8.142612
0.0489,0.0782,0.0635,0.044,0.1124,8.167572
0.0684,0.0391,0.1124,0.0635,0.0587,8.191492
0.0635,0.0684,0.1515,0.044,0.0635,8.215412
0.0489,0.0293,0.0635,0.0587,0.0831,8.239332
0.044,0.0733,0.0538,0.1124,0.0538,8.263252
0.0929,0.0391,0.1906,0.2542,0.0489,8.287172
0.0684,0.1515,0.0831,0.0782,0.132,8.311092
0.0929,0.044,0.0929,0.0635,0.0929,8.336052
0.0635,0.0587,0.0733,0.0489,0.0684,8.359972
0.0782,0.0831,0.0782,0.132,0.1124,8.384932
0.0684,0.0538,0.0929,0.0929,0.0684,8.409892
0.0635,0.0831,0.0587,0.0538,0.0293,8.434852
0.0684,0.0293,0.044,0.0587,0.0391,8.458772
0.044,0.0733,0.0587,0.0929,0.0782,8.480612
0.0684,0.0342,0.0391,0.0538,0.044,8.504532
0.1173,0.1564,0.1417,0.0244,0.0635,8.526372
0.0587,0.0978,0.0929,0.0684,0.0391,8.550292
0.0831,0.0244,0.0489,0.0733,0.044,8.574212
0.1173,0.1515,0.0489,0.1173,0.0929,8.597092
0.1075,0.0391,0.0635,0.0733,0.044,8.622052
0.0391,0.0978,0.0489,0.1417,0.1222,8.644932
0.0489,0.0587,0.0733,0.0831,0.0391,8.668852
0.0489,0.0587,0.0196,0.0684,0.0342,8.692772
0.0733,0.0635,0.088,0.0684,0.0733,8.715652
0.0587,0.0587,0.0635,0.0391,0.0293,8.740612
0.044,0.0538,0.0489,0.0635,0.0684,8.763492
0.0489,0.0489,0.0733,0.0733,0.0831,8.787412
0.2102,0.1271,0.1222,0.1369,0.0391,8.812372
0.0587,0.0391,0.0684,0.0733,0.088,8.836292
0.0684,0.088,0.0587,0.0978,0.0733,8.860212
0.0489,0.0635,0.0538,0.0587,0.0489,8.885172
0.0635,0.0929,0.0391,0.0538,0.1075,8.910132
0.0587,0.0489,0.088,0.132,0.0929,8.934052
0.0733,0.0782,0.0635,0.1075,0.0293,8.959012
0.1515,0.1564,0.088,0.1857,0.0684,8.982932
0.1711,0.0831,0.0587,0.1222,0.0587,9.007892
0.0342,0.0538,0.0733,0.0391,0.0587,9.032852
0.0489,0.0391,0.0538,0.0831,0.0489,9.055732
0.0684,0.0733,0.0635,0.0489,0.0538,9.079652
0.0587,0.0489,0.0489,0.0244,0.0391,9.104612
0.0391,0.0342,0.0489,0.0293,0.0244,9.127492
0.0782,0.0733,0.0342,0.0489,0.0635,9.148292
0.0391,0.0733,0.0538,0.0587,0.0635,9.172212
0.0684,0.0929,0.0684,0.132,0.0733,9.196132
0.1026,0.0782,0.0929,0.1271,0.1808,9.221092
0.132,0.1271,0.1173,0.1026,0.088,9.246052
0.0538,0.0538,0.0929,0.0929,0.0782,9.271012
0.1515,0.0391,0.0391,0.0733,0.0489,9.295972
0.1124,0.0831,0.1417,0.0293,0.1271,9.318852
0.0684,0.0831,0.0733,0.0391,0.0391,9.342772
0.0391,0.088,0.0244,0.044,0.0391,9.365652
0.0587,0.0489,0.0684,0.0587,0.0733,9.386452
0.0489,0.0489,0.0391,0.0244,0.0782,9.411412
0.044,0.0293,0.0391,0.0342,0.044,9.434292
0.0733,0.0489,0.0538,0.0587,0.0635,9.454052
0.0929,0.0929,0.0587,0.0489,0.0391,9.479012
