Timestamp_s,Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V
6.586452,-0.0005358152917796119,-0.0002771997455699041,0.0001553249962746937,0.00030120694701827927,-0.0006681154015373731
6.587836,-0.028462663704784452,0.0015259060894809236,-0.00032606894919422056,0.00021129945831735924,0.0035032692475266505
6.58908,-0.0536641335149898,0.00318051004638612,-0.0007433318247261203,0.000201763838472756,0.007306413148700609
6.590308,-0.0737821776526056,0.004525069660185823,-0.001038596545601126,0.0003086964694202325,0.010387155449840589
6.599252,-0.08702769904953475,0.005428021898485645,-0.0011741223543585099,0.0005440028506094319,0.01246537490279769
6.620052,-0.0923671816839536,0.005802467053803561,-0.0011363352307511613,0.000892858255657726,0.013362697182319907
6.639812,-0.08961388614633292,0.005616193905888719,-0.0009360565531280899,0.001315347550264888,0.013019816751304555
6.660612,-0.0794150186858607,0.004895771240558291,-0.0006051510319171425,0.001752033121625227,0.01150156655463794
6.680372,-0.06314055811086015,0.003724092198493974,-0.00019038075438362876,0.0021326460982927183,0.008989074256758723
6.702212,-0.04269227188148738,0.0022315125797386652,0.00025435574192823787,0.002386647754970702,0.005759677907151075
6.723012,-0.020261093764735838,0.000581490337978214,0.0006760482852211936,0.0024541265878799687,0.0021566177723167366
6.742772,0.0019337317837614454,-0.001047681152310372,0.0010295729177172256,0.002295427444158716,-0.0014482813321290361
6.762532,0.021889988730200153,-0.002482941519406551,0.0012826390976765877,0.0018980686694284443,-0.004694838806816872
6.782292,0.0380228415243806,-0.003575969497103011,0.0014180834635961045,0.00127987242824426,-0.00727313305369714
6.802052,0.04929872066305969,-0.004219804436052248,0.0014334077048439688,0.00048776415301376264,-0.008956094723210593
6.821812,0.05529158677896724,-0.004360605816029611,0.001337951872004092,-0.00040767816414203717,-0.009622337140538109
6.843652,0.05616146747805267,-0.0040031716684226035,0.0011485008005336457,-0.0013212059926722044,-0.009266616945313019
6.865492,0.05256535063905038,-0.0032095986980907134,0.000884379550091608,-0.002164129780102014,-0.007996776054446115
6.885252,0.045518510461013684,-0.0020912822401752892,0.0005631653324744256,-0.002856107283291737,-0.006017620649264439
6.907092,0.036229209659708383,-0.000795215382924958,0.0001980068985690473,-0.0033356387262884497,-0.0036037565675874957
6.926852,0.025931038868984145,0.000513829903040768,-0.0002028001240320309,-0.003567553946543707,-0.0010647389068167911
6.946612,0.015735026790748105,0.0016732182058302977,-0.0006338383675253325,-0.0035462253219879273,0.0012931600870078647
6.966372,0.00651866064502828,0.0025422036947259463,-0.0010886268947844602,-0.0032939489147042963,0.003203834725347004
6.986132,-0.0011379653828572213,0.00301922927497302,-0.0015546725674512722,-0.002854794432736286,0.0044723131917698035
7.006932,-0.006966359531943172,0.0030546620491303713,-0.0020088367790162083,-0.002285078264209401,0.0049959874702556134
7.0267,-0.010978994188468842,0.002657265260045738,-0.0024144471608766238,-0.0016422925763384508,0.004773540817841349
7.047492,-0.013404498361715965,0.0018933502954111977,-0.0027213916445549156,-0.0009746785055922866,0.003900624499077724
7.071412,-0.01460307736326304,0.0008784036444770377,-0.002869947875063509,-0.00031357151469324474,0.0025530993781970952
7.091172,-0.014977746662998392,-0.0002380341392522807,-0.0027983877189782804,0.0003298405964621274,0.0009603175851853929
7.111972,-0.01489568173645707,-0.001292482484296684,-0.002453573295503149,0.0009625499256215735,-0.0006277692553809379
7.131732,-0.014630655242227307,-0.0021300683537173446,-0.0018029918346157733,0.0016028031009574265,-0.0019751213764071405
7.151492,-0.01433286556627521,-0.002626471760956916,-0.0008461360139500845,0.0022695219137767414,-0.0028910757494101692
